      energy       fd occ          dos 
-5.49007e+00  9.98280e-01  0.00000e+00
-5.35580e+00  9.98217e-01  1.09454e-01
-5.22153e+00  9.98150e-01  1.53170e-01
-5.08727e+00  9.98082e-01  1.85588e-01
-4.95300e+00  9.98010e-01  2.11956e-01
-4.81873e+00  9.97937e-01  2.34326e-01
-4.68446e+00  9.97860e-01  2.53758e-01
-4.55020e+00  9.97780e-01  2.70884e-01
-4.41593e+00  9.97698e-01  2.86119e-01
-4.28166e+00  9.97613e-01  2.99751e-01
-4.14740e+00  9.97524e-01  3.11991e-01
-4.01313e+00  9.97432e-01  3.22996e-01
-3.87886e+00  9.97337e-01  3.32890e-01
-3.74460e+00  9.97238e-01  3.41769e-01
-3.61033e+00  9.97136e-01  3.49709e-01
-3.47606e+00  9.97029e-01  3.56775e-01
-3.34180e+00  9.96919e-01  3.63016e-01
-3.20753e+00  9.96805e-01  3.68476e-01
-3.07326e+00  9.96686e-01  3.73187e-01
-2.93900e+00  9.96563e-01  3.77178e-01
-2.80473e+00  9.96436e-01  3.80473e-01
-2.67046e+00  9.96304e-01  3.83088e-01
-2.53620e+00  9.96167e-01  3.85037e-01
-2.40193e+00  9.96025e-01  3.86331e-01
-2.26766e+00  9.95877e-01  3.86977e-01
-2.13340e+00  9.95725e-01  3.86977e-01
-1.99913e+00  9.95566e-01  3.86331e-01
-1.86486e+00  9.95402e-01  3.85037e-01
-1.73060e+00  9.95232e-01  3.83088e-01
-1.59633e+00  9.95055e-01  3.80473e-01
-1.46206e+00  9.94872e-01  3.77178e-01
-1.32779e+00  9.94682e-01  3.73187e-01
-1.19353e+00  9.94486e-01  3.68476e-01
-1.05926e+00  9.94282e-01  3.63016e-01
-9.24995e-01  9.94070e-01  3.56775e-01
-7.90728e-01  9.93851e-01  3.49709e-01
-6.56461e-01  9.93623e-01  3.41769e-01
-5.22194e-01  9.93388e-01  3.32890e-01
-3.87927e-01  9.93143e-01  3.22996e-01
-2.53661e-01  9.92890e-01  3.11991e-01
-1.19394e-01  9.92627e-01  2.99751e-01
 1.48730e-02  9.92355e-01  2.86119e-01
 1.49140e-01  9.92073e-01  2.70884e-01
 2.83407e-01  9.91780e-01  2.53758e-01
 4.17673e-01  9.91477e-01  2.34326e-01
 5.51940e-01  9.91163e-01  2.11956e-01
 6.86207e-01  9.90837e-01  1.85588e-01
 8.20474e-01  9.90499e-01  1.53170e-01
 9.54741e-01  9.90149e-01  1.09454e-01
 1.08901e+00  9.89786e-01  0.00000e+00
 5.60135e+00  9.65969e-01  0.00000e+00
 6.06344e+00  9.61585e-01  9.54091e-02
 6.52554e+00  9.56661e-01  1.33516e-01
 6.98763e+00  9.51137e-01  1.61774e-01
 7.44972e+00  9.44951e-01  1.84759e-01
 7.91182e+00  9.38032e-01  2.04259e-01
 8.37391e+00  9.30307e-01  2.21197e-01
 8.83601e+00  9.21700e-01  2.36125e-01
 9.29810e+00  9.12131e-01  2.49406e-01
 9.76019e+00  9.01517e-01  2.61289e-01
 1.02223e+01  8.89775e-01  2.71958e-01
 1.06844e+01  8.76825e-01  2.81551e-01
 1.11465e+01  8.62589e-01  2.90175e-01
 1.16086e+01  8.46995e-01  2.97915e-01
 1.20707e+01  8.29979e-01  3.04837e-01
 1.25328e+01  8.11492e-01  3.10996e-01
 1.29948e+01  7.91501e-01  3.16436e-01
 1.34569e+01  7.69990e-01  3.21195e-01
 1.39190e+01  7.46969e-01  3.25302e-01
 1.43811e+01  7.22474e-01  3.28781e-01
 1.48432e+01  6.96572e-01  3.31652e-01
 1.53053e+01  6.69358e-01  3.33932e-01
 1.54963e+01  6.57754e-01  3.34704e-01
 1.57674e+01  6.40962e-01  3.51005e-01
 1.61268e+01  6.18159e-01  3.59867e-01
 1.62295e+01  6.11542e-01  3.61852e-01
 1.66916e+01  5.81287e-01  3.69115e-01
 1.67573e+01  5.76929e-01  3.69975e-01
 1.71537e+01  5.50407e-01  3.74467e-01
 1.73878e+01  5.34598e-01  3.76630e-01
 1.76158e+01  5.19134e-01  3.78432e-01
 1.77157e+01  5.12344e-01  3.79133e-01
 1.80183e+01  4.91764e-01  4.49352e-01
 1.80779e+01  4.87710e-01  4.56028e-01
 1.84226e+01  4.64316e-01  4.86636e-01
 1.85400e+01  4.56383e-01  4.95107e-01
 1.86487e+01  4.49050e-01  5.02367e-01
 1.90021e+01  4.25398e-01  5.22953e-01
 1.91295e+01  4.16941e-01  5.29485e-01
 1.92792e+01  4.07075e-01  5.36662e-01
 1.94642e+01  3.94987e-01  5.44879e-01
 1.98365e+01  3.71052e-01  5.59556e-01
 1.99097e+01  3.66414e-01  5.62184e-01
 1.99263e+01  3.65369e-01  5.62767e-01
 2.03883e+01  3.36735e-01  5.77544e-01
 2.05402e+01  3.27570e-01  5.81818e-01
 2.05434e+01  3.27378e-01  5.81905e-01
 2.08504e+01  3.09251e-01  5.89743e-01
 2.11707e+01  2.90953e-01  5.96865e-01
 2.12503e+01  2.86502e-01  5.98478e-01
 2.13125e+01  2.83054e-01  5.99696e-01
 2.17746e+01  2.58246e-01  6.07619e-01
 2.18011e+01  2.56866e-01  6.08016e-01
 2.19572e+01  2.48842e-01  6.10223e-01
 2.22367e+01  2.34900e-01  6.13651e-01
 2.24316e+01  2.25503e-01  6.15650e-01
 2.26642e+01  2.14643e-01  6.17621e-01
 2.26988e+01  2.13058e-01  6.17876e-01
 2.30621e+01  1.96953e-01  6.19958e-01
 2.31609e+01  1.92735e-01  6.20336e-01
 2.33711e+01  1.83993e-01  6.20873e-01
 2.36230e+01  1.73923e-01  6.21033e-01
 2.36926e+01  1.71220e-01  6.20984e-01
 2.40780e+01  1.56846e-01  6.19961e-01
 2.40851e+01  1.56591e-01  6.19931e-01
 2.43231e+01  1.48228e-01  6.18636e-01
 2.45472e+01  1.40691e-01  6.16948e-01
 2.47849e+01  1.33051e-01  6.14640e-01
 2.49535e+01  1.27847e-01  6.12667e-01
 2.50093e+01  1.26165e-01  6.11951e-01
 2.54714e+01  1.12941e-01  6.04728e-01
 2.54919e+01  1.12384e-01  6.04352e-01
 2.55840e+01  1.09907e-01  6.02597e-01
 2.59335e+01  1.00943e-01  5.94954e-01
 2.61988e+01  9.45779e-02  5.87999e-01
 2.62145e+01  9.42121e-02  5.87552e-01
 2.63956e+01  9.00907e-02  5.82106e-01
 2.68450e+01  8.05558e-02  5.65812e-01
 2.68577e+01  8.03006e-02  5.65286e-01
 2.69057e+01  7.93406e-02  5.63252e-01
 2.73198e+01  7.14907e-02  5.42728e-01
 2.74755e+01  6.87289e-02  5.33218e-01
 2.76126e+01  6.63781e-02  5.23687e-01
 2.77818e+01  6.35806e-02  5.09876e-01
 2.81059e+01  5.85278e-02  4.70416e-01
 2.82439e+01  5.64925e-02  4.19294e-01
 2.83195e+01  5.54060e-02  4.20044e-01
 2.87364e+01  4.97599e-02  4.23984e-01
 2.90265e+01  4.61579e-02  4.26532e-01
 2.93669e+01  4.22465e-02  4.29326e-01
 2.97334e+01  3.83906e-02  4.32100e-01
 2.99974e+01  3.58249e-02  4.33951e-01
 3.04403e+01  3.18868e-02  4.36784e-01
 3.06279e+01  3.03484e-02  4.37882e-01
 3.11472e+01  2.64544e-02  4.40611e-01
 3.12583e+01  2.56868e-02  4.41136e-01
 3.18542e+01  2.19266e-02  4.43603e-01
 3.18888e+01  2.17252e-02  4.43728e-01
 3.25193e+01  1.83631e-02  4.45670e-01
 3.25611e+01  1.81593e-02  4.45776e-01
 3.31498e+01  1.55130e-02  4.46969e-01
 3.32680e+01  1.50293e-02  4.47142e-01
 3.34795e+01  1.42006e-02  4.47395e-01
 3.37803e+01  1.30994e-02  5.09828e-01
 3.39749e+01  1.24320e-02  5.27364e-01
 3.44107e+01  1.10571e-02  5.56346e-01
 3.44209e+01  1.10267e-02  5.56923e-01
 3.46818e+01  1.02788e-02  5.70602e-01
 3.50412e+01  9.33016e-03  5.86813e-01
 3.53624e+01  8.55605e-03  5.99403e-01
 3.53888e+01  8.49537e-03  6.00371e-01
 3.56717e+01  7.87082e-03  6.10213e-01
 3.60957e+01  7.01918e-03  6.23337e-01
 3.63022e+01  6.63821e-03  6.29122e-01
 3.63038e+01  6.63524e-03  6.29167e-01
 3.68026e+01  5.79799e-03  6.41732e-01
 3.69327e+01  5.59754e-03  6.44713e-01
 3.72453e+01  5.14341e-03  6.51424e-01
 3.75095e+01  4.78824e-03  6.56628e-01
 3.75631e+01  4.71924e-03  6.57633e-01
 3.81867e+01  3.98565e-03  6.68173e-01
 3.81936e+01  3.97820e-03  6.68278e-01
 3.82165e+01  3.95365e-03  6.68625e-01
 3.88241e+01  3.35313e-03  6.76906e-01
 3.89234e+01  3.26404e-03  6.78093e-01
 3.91281e+01  3.08769e-03  6.80399e-01
 3.94546e+01  2.82600e-03  6.83688e-01
 3.96303e+01  2.69440e-03  6.85266e-01
 4.00696e+01  2.39155e-03  6.88635e-01
 4.00850e+01  2.38153e-03  6.88738e-01
 4.03372e+01  2.22395e-03  6.90290e-01
 4.07155e+01  2.00683e-03  6.92127e-01
 4.10110e+01  1.85207e-03  6.93155e-01
 4.10441e+01  1.83548e-03  6.93248e-01
 4.13460e+01  1.69099e-03  6.93889e-01
 4.17511e+01  1.51477e-03  6.94166e-01
 4.19525e+01  1.43411e-03  6.94052e-01
 4.19765e+01  1.42478e-03  6.94027e-01
 4.24580e+01  1.25003e-03  6.93020e-01
 4.26070e+01  1.20043e-03  6.92508e-01
 4.28939e+01  1.11036e-03  6.91250e-01
 4.31649e+01  1.03151e-03  6.89722e-01
 4.32374e+01  1.01137e-03  6.89256e-01
 4.38353e+01  8.59641e-04  6.84449e-01
 4.38679e+01  8.52060e-04  6.84135e-01
 4.38718e+01  8.51156e-04  6.84097e-01
 4.44984e+01  7.17828e-04  6.76900e-01
 4.45788e+01  7.02315e-04  6.75807e-01
 4.47768e+01  6.65494e-04  6.72926e-01
 4.51289e+01  6.04729e-04  6.67081e-01
 4.52857e+01  5.79486e-04  6.64134e-01
 4.57182e+01  5.15172e-04  6.54559e-01
 4.57594e+01  5.09441e-04  6.53506e-01
 4.59926e+01  4.78128e-04  6.46836e-01
 4.63898e+01  4.29161e-04  6.24505e-01
 4.66597e+01  3.98791e-04  6.21608e-01
 4.66995e+01  3.94492e-04  6.21156e-01
 4.74064e+01  3.25481e-04  6.12036e-01
 4.76011e+01  3.08694e-04  6.09140e-01
 4.81134e+01  2.68540e-04  6.00651e-01
 4.85426e+01  2.38947e-04  5.92483e-01
 4.88203e+01  2.21557e-04  5.86627e-01
 4.94840e+01  1.84955e-04  5.70540e-01
 4.95272e+01  1.82794e-04  5.69378e-01
 5.02341e+01  1.50811e-04  5.47911e-01
 5.04254e+01  1.43162e-04  5.41165e-01
 5.08666e+01  1.26969e-04  5.23591e-01
 5.09411e+01  1.24423e-04  5.37483e-01
 5.13669e+01  1.10812e-04  5.43239e-01
 5.16480e+01  1.02652e-04  5.36728e-01
 5.16597e+01  1.02325e-04  5.36326e-01
 5.23083e+01  8.57706e-05  4.81082e-01
 5.23549e+01  8.46903e-05  4.55430e-01
 5.24529e+01  8.24629e-05  4.58071e-01
 5.30037e+01  7.09841e-05  4.71453e-01
 5.32460e+01  6.64562e-05  5.28100e-01
 5.32498e+01  6.63880e-05  5.28576e-01
 5.40391e+01  5.35564e-05  5.97313e-01
 5.41806e+01  5.15335e-05  6.06562e-01
 5.41912e+01  5.13853e-05  6.07233e-01
 5.48322e+01  4.31605e-05  6.43625e-01
 5.51326e+01  3.97729e-05  6.58461e-01
 5.53575e+01  3.74124e-05  6.68857e-01
 5.56254e+01  3.47825e-05  6.80557e-01
 5.60741e+01  3.07846e-05  6.98712e-01
 5.64185e+01  2.80307e-05  7.11584e-01
 5.65344e+01  2.71606e-05  7.15729e-01
 5.70155e+01  2.38276e-05  7.32032e-01
 5.72116e+01  2.25895e-05  7.38288e-01
 5.77112e+01  1.97180e-05  7.53309e-01
 5.79570e+01  1.84427e-05  7.60246e-01
 5.80047e+01  1.82045e-05  7.61562e-01
 5.87979e+01  1.46707e-05  7.81971e-01
 5.88881e+01  1.43148e-05  7.84130e-01
 5.88984e+01  1.42748e-05  7.84374e-01
 5.95910e+01  1.18228e-05  7.99899e-01
 5.98398e+01  1.10488e-05  8.05058e-01
 6.00650e+01  1.03922e-05  8.09545e-01
 6.03841e+01  9.52780e-06  8.15620e-01
 6.07813e+01  8.55180e-06  8.22729e-01
 6.11772e+01  7.67827e-06  8.29338e-01
 6.12419e+01  7.54447e-06  8.30372e-01
 6.17227e+01  6.61914e-06  8.37691e-01
 6.19704e+01  6.18777e-06  8.41205e-01
 6.24187e+01  5.47708e-06  8.47140e-01
 6.26642e+01  5.12324e-06  8.50161e-01
 6.27635e+01  4.98661e-06  8.51339e-01
 6.35566e+01  4.01861e-06  8.59827e-01
 6.35956e+01  3.97622e-06  8.60203e-01
 6.36056e+01  3.96541e-06  8.60299e-01
 6.43498e+01  3.23852e-06  8.66739e-01
 6.45470e+01  3.06924e-06  8.68220e-01
 6.47725e+01  2.88663e-06  8.69796e-01
 6.51429e+01  2.60986e-06  8.72123e-01
 6.54885e+01  2.37561e-06  8.74001e-01
 6.59360e+01  2.10323e-06  8.76014e-01
 6.59493e+01  2.09561e-06  8.76067e-01
 6.64299e+01  1.83873e-06  8.77693e-01
 6.67291e+01  1.69495e-06  8.78433e-01
 6.71262e+01  1.52136e-06  8.79093e-01
 6.73714e+01  1.42318e-06  8.79318e-01
 6.75223e+01  1.36593e-06  8.79386e-01
 6.83031e+01  1.10446e-06  8.78889e-01
 6.83128e+01  1.10155e-06  8.78873e-01
 6.83154e+01  1.10077e-06  8.78869e-01
 6.91085e+01  8.87092e-07  8.76864e-01
 6.92542e+01  8.52602e-07  8.76331e-01
 6.94800e+01  8.01810e-07  8.75404e-01
 6.99016e+01  7.14890e-07  8.73337e-01
 7.01957e+01  6.59917e-07  8.71633e-01
 7.06568e+01  5.82092e-07  8.68519e-01
 7.06948e+01  5.76115e-07  8.68238e-01
 7.11371e+01  5.10778e-07  8.64687e-01
 7.14879e+01  4.64280e-07  8.61499e-01
 7.18337e+01  4.22582e-07  8.58024e-01
 7.20786e+01  3.95344e-07  8.55359e-01
 7.22810e+01  3.74154e-07  8.53025e-01
 7.30106e+01  3.06783e-07  8.43587e-01
 7.30200e+01  3.05998e-07  8.43455e-01
 7.30741e+01  3.01523e-07  8.42686e-01
 7.38673e+01  2.42991e-07  8.30311e-01
 7.39614e+01  2.36843e-07  8.28695e-01
 7.41875e+01  2.22716e-07  8.24685e-01
 7.46604e+01  1.95822e-07  8.15656e-01
 7.49029e+01  1.83317e-07  8.10671e-01
 7.53643e+01  1.61686e-07  8.00464e-01
 7.54535e+01  1.57809e-07  7.98375e-01
 7.58443e+01  1.41888e-07  7.88745e-01
 7.62466e+01  1.27175e-07  7.77947e-01
 7.62746e+01  1.26211e-07  7.77160e-01
 7.65412e+01  1.17379e-07  8.19347e-01
 7.67858e+01  1.09822e-07  8.30885e-01
 7.70398e+01  1.02488e-07  8.37824e-01
 7.72826e+01  9.59341e-08  8.41621e-01
 7.77181e+01  8.52141e-08  8.43518e-01
 7.77272e+01  8.50026e-08  8.43499e-01
 7.78329e+01  8.25927e-08  8.43121e-01
 7.80834e+01  7.71502e-08  8.41029e-01
 7.82906e+01  7.29205e-08  8.45045e-01
 7.86260e+01  6.65598e-08  8.41662e-01
 7.86686e+01  6.57923e-08  8.40832e-01
 7.88949e+01  6.18631e-08  8.34865e-01
 7.91831e+01  5.71973e-08  8.22430e-01
 7.92986e+01  5.54276e-08  8.15091e-01
 7.94192e+01  5.36392e-08  8.04815e-01
 7.96101e+01  5.09234e-08  7.60326e-01
 8.00718e+01  4.49109e-08  7.71611e-01
 8.02123e+01  4.32267e-08  7.74764e-01
 8.02828e+01  4.24047e-08  7.76303e-01
 8.03066e+01  4.21310e-08  7.76815e-01
 8.10054e+01  3.48355e-08  7.90479e-01
 8.12487e+01  3.26041e-08  7.94658e-01
 8.13146e+01  3.20242e-08  7.95744e-01
 8.13825e+01  3.14378e-08  7.96841e-01
