        eigs         occs          dos      l_degen     k_int_wt 
 2.91295e+01  6.08771e-01  3.41814e-02  6.00000e+00  7.58767e-01
 2.95660e+01  5.80146e-01  6.46502e-03  1.00000e+01  1.13658e+00
 2.98883e+01  5.58649e-01  3.40669e-02  6.00000e+00  7.58767e-01
 3.06471e+01  5.07302e-01  3.38944e-02  6.00000e+00  7.58767e-01
 3.07026e+01  5.03524e-01  9.04718e-03  1.00000e+01  1.13658e+00
 3.08436e+01  4.93932e-01  0.00000e+00  2.00000e+00  5.02417e-01
 3.14058e+01  4.55800e-01  3.36631e-02  6.00000e+00  7.58767e-01
 3.18392e+01  4.26736e-01  1.09620e-02  1.00000e+01  1.13658e+00
 3.18484e+01  4.26119e-01  7.31264e-03  2.00000e+00  1.00483e+00
 3.21646e+01  4.05227e-01  3.33716e-02  6.00000e+00  7.58767e-01
 3.28533e+01  3.60975e-01  1.02333e-02  2.00000e+00  1.00483e+00
 3.29234e+01  3.56588e-01  3.30184e-02  6.00000e+00  7.58767e-01
 3.29758e+01  3.53324e-01  1.25195e-02  1.00000e+01  1.13658e+00
 3.36821e+01  3.10737e-01  3.26016e-02  6.00000e+00  7.58767e-01
 3.38581e+01  3.00575e-01  1.23992e-02  2.00000e+00  1.00483e+00
 3.41123e+01  2.86235e-01  1.38408e-02  1.00000e+01  1.13658e+00
 3.44409e+01  2.68323e-01  3.21186e-02  6.00000e+00  7.58767e-01
 3.48629e+01  2.46384e-01  1.41609e-02  2.00000e+00  1.00483e+00
 3.51997e+01  2.29769e-01  3.15664e-02  6.00000e+00  7.58767e-01
 3.52489e+01  2.27406e-01  1.49885e-02  1.00000e+01  1.13658e+00
 3.58678e+01  1.99181e-01  1.56554e-02  2.00000e+00  1.00483e+00
 3.59584e+01  1.95275e-01  3.09412e-02  6.00000e+00  7.58767e-01
 3.63855e+01  1.77658e-01  1.60001e-02  1.00000e+01  1.13658e+00
 3.67172e+01  1.64852e-01  3.02387e-02  6.00000e+00  7.58767e-01
 3.68726e+01  1.59112e-01  1.69537e-02  2.00000e+00  1.00483e+00
 3.74760e+01  1.38354e-01  2.94531e-02  6.00000e+00  7.58767e-01
 3.75221e+01  1.36865e-01  1.69000e-02  1.00000e+01  1.13658e+00
 3.78774e+01  1.25837e-01  1.80979e-02  2.00000e+00  1.00483e+00
 3.82347e+01  1.15525e-01  2.85777e-02  6.00000e+00  7.58767e-01
 3.86586e+01  1.04252e-01  1.77052e-02  1.00000e+01  1.13658e+00
 3.88823e+01  9.87039e-02  1.91157e-02  2.00000e+00  1.00483e+00
 3.89935e+01  9.60441e-02  2.76040e-02  6.00000e+00  7.58767e-01
 3.97523e+01  7.95524e-02  2.65211e-02  6.00000e+00  7.58767e-01
 3.97952e+01  7.87009e-02  1.84281e-02  1.00000e+01  1.13658e+00
 3.98871e+01  7.69066e-02  2.00265e-02  2.00000e+00  1.00483e+00
 4.05110e+01  6.56867e-02  2.53149e-02  6.00000e+00  7.58767e-01
 4.08919e+01  5.96046e-02  2.08442e-02  2.00000e+00  1.00483e+00
 4.09318e+01  5.89998e-02  1.90782e-02  1.00000e+01  1.13658e+00
 4.12698e+01  5.40957e-02  2.39670e-02  6.00000e+00  7.58767e-01
 4.18968e+01  4.60011e-02  2.15795e-02  2.00000e+00  1.00483e+00
 4.20286e+01  4.44527e-02  2.24517e-02  6.00000e+00  7.58767e-01
 4.20684e+01  4.39950e-02  1.96626e-02  1.00000e+01  1.13658e+00
 4.27873e+01  3.64624e-02  2.07325e-02  6.00000e+00  7.58767e-01
 4.29016e+01  3.53855e-02  2.22405e-02  2.00000e+00  1.00483e+00
 4.32049e+01  3.26737e-02  2.01870e-02  1.00000e+01  1.13658e+00
 4.35461e+01  2.98635e-02  1.87532e-02  6.00000e+00  7.58767e-01
 4.39065e+01  2.71499e-02  2.28337e-02  2.00000e+00  1.00483e+00
 4.43049e+01  2.44285e-02  1.64202e-02  6.00000e+00  7.58767e-01
 4.43415e+01  2.41920e-02  2.06561e-02  1.00000e+01  1.13658e+00
 4.49113e+01  2.07898e-02  2.33642e-02  2.00000e+00  1.00483e+00
 4.50636e+01  1.99624e-02  1.35520e-02  6.00000e+00  7.58767e-01
 4.54781e+01  1.78714e-02  2.10734e-02  1.00000e+01  1.13658e+00
 4.58224e+01  1.62991e-02  9.68412e-03  6.00000e+00  7.58767e-01
 4.59161e+01  1.58952e-02  2.38363e-02  2.00000e+00  1.00483e+00
 4.65812e+01  1.32989e-02  0.00000e+00  6.00000e+00  3.79383e-01
 4.66147e+01  1.31798e-02  2.14420e-02  1.00000e+01  1.13658e+00
 4.69210e+01  1.21387e-02  2.42533e-02  2.00000e+00  1.00483e+00
 4.77512e+01  9.70772e-03  2.17645e-02  1.00000e+01  1.13658e+00
 4.79258e+01  9.26160e-03  2.46180e-02  2.00000e+00  1.00483e+00
 4.88878e+01  7.14369e-03  2.20428e-02  1.00000e+01  1.13658e+00
 4.89306e+01  7.06155e-03  2.49328e-02  2.00000e+00  1.00483e+00
 4.99355e+01  5.38128e-03  2.51994e-02  2.00000e+00  1.00483e+00
 5.00244e+01  5.25328e-03  2.22785e-02  1.00000e+01  1.13658e+00
 5.09403e+01  4.09917e-03  2.54195e-02  2.00000e+00  1.00483e+00
 5.11610e+01  3.86118e-03  2.24731e-02  1.00000e+01  1.13658e+00
 5.19451e+01  3.12157e-03  2.55942e-02  2.00000e+00  1.00483e+00
 5.22976e+01  2.83693e-03  2.26276e-02  1.00000e+01  1.13658e+00
 5.29500e+01  2.37656e-03  2.57245e-02  2.00000e+00  1.00483e+00
 5.33757e+01  2.11716e-03  0.00000e+00  1.40000e+01  7.52232e-01
 5.34341e+01  2.08381e-03  2.27427e-02  1.00000e+01  1.13658e+00
 5.39548e+01  1.80904e-03  2.58110e-02  2.00000e+00  1.00483e+00
 5.45707e+01  1.53032e-03  2.28192e-02  1.00000e+01  1.13658e+00
 5.48801e+01  1.40692e-03  4.88412e-03  1.40000e+01  1.50446e+00
 5.49596e+01  1.37685e-03  2.58541e-02  2.00000e+00  1.00483e+00
 5.57073e+01  1.12367e-03  2.28573e-02  1.00000e+01  1.13658e+00
 5.59645e+01  1.04781e-03  2.58541e-02  2.00000e+00  1.00483e+00
 5.63846e+01  9.34719e-04  6.83487e-03  1.40000e+01  1.50446e+00
 5.68439e+01  8.24997e-04  2.28573e-02  1.00000e+01  1.13658e+00
 5.69693e+01  7.97335e-04  2.58110e-02  2.00000e+00  1.00483e+00
 5.78890e+01  6.20903e-04  8.28144e-03  1.40000e+01  1.50446e+00
 5.79741e+01  6.06701e-04  2.57245e-02  2.00000e+00  1.00483e+00
 5.79804e+01  6.05661e-04  2.28192e-02  1.00000e+01  1.13658e+00
 5.89790e+01  4.61624e-04  2.55942e-02  2.00000e+00  1.00483e+00
 5.91170e+01  4.44613e-04  2.27427e-02  1.00000e+01  1.13658e+00
 5.93935e+01  4.12401e-04  9.45807e-03  1.40000e+01  1.50446e+00
 5.99838e+01  3.51227e-04  2.54195e-02  2.00000e+00  1.00483e+00
 6.02536e+01  3.26374e-04  2.26276e-02  1.00000e+01  1.13658e+00
 6.08980e+01  2.73896e-04  1.04563e-02  1.40000e+01  1.50446e+00
 6.09886e+01  2.67224e-04  2.51994e-02  2.00000e+00  1.00483e+00
 6.13902e+01  2.39572e-04  2.24731e-02  1.00000e+01  1.13658e+00
 6.19935e+01  2.03308e-04  2.49328e-02  2.00000e+00  1.00483e+00
 6.24024e+01  1.81900e-04  1.13234e-02  1.40000e+01  1.50446e+00
 6.25267e+01  1.75851e-04  2.22785e-02  1.00000e+01  1.13658e+00
 6.29983e+01  1.54677e-04  2.46180e-02  2.00000e+00  1.00483e+00
 6.36633e+01  1.29077e-04  2.20428e-02  1.00000e+01  1.13658e+00
 6.39069e+01  1.20799e-04  1.20876e-02  1.40000e+01  1.50446e+00
 6.40031e+01  1.17678e-04  2.42533e-02  2.00000e+00  1.00483e+00
 6.47999e+01  9.47425e-05  2.17645e-02  1.00000e+01  1.13658e+00
 6.50080e+01  8.95276e-05  2.38363e-02  2.00000e+00  1.00483e+00
 6.54114e+01  8.02211e-05  1.27674e-02  1.40000e+01  1.50446e+00
 6.59365e+01  6.95405e-05  2.14420e-02  1.00000e+01  1.13658e+00
 6.60128e+01  6.81111e-05  2.33642e-02  2.00000e+00  1.00483e+00
 6.69158e+01  5.32729e-05  1.33757e-02  1.40000e+01  1.50446e+00
 6.70176e+01  5.18174e-05  2.28337e-02  2.00000e+00  1.00483e+00
 6.70730e+01  5.10420e-05  2.10734e-02  1.00000e+01  1.13658e+00
 6.80225e+01  3.94214e-05  2.22405e-02  2.00000e+00  1.00483e+00
 6.82096e+01  3.74642e-05  2.06561e-02  1.00000e+01  1.13658e+00
 6.84203e+01  3.53769e-05  1.39219e-02  1.40000e+01  1.50446e+00
 6.90273e+01  2.99908e-05  2.15795e-02  2.00000e+00  1.00483e+00
 6.93462e+01  2.74981e-05  2.01870e-02  1.00000e+01  1.13658e+00
 6.99248e+01  2.34926e-05  1.44130e-02  1.40000e+01  1.50446e+00
 7.00321e+01  2.28161e-05  2.08442e-02  2.00000e+00  1.00483e+00
 7.04828e+01  2.01831e-05  1.96626e-02  1.00000e+01  1.13658e+00
 7.10370e+01  1.73578e-05  2.00265e-02  2.00000e+00  1.00483e+00
 7.14292e+01  1.56006e-05  1.48545e-02  1.40000e+01  1.50446e+00
 7.16194e+01  1.48140e-05  1.90782e-02  1.00000e+01  1.13658e+00
 7.20418e+01  1.32053e-05  1.91157e-02  2.00000e+00  1.00483e+00
 7.27559e+01  1.08732e-05  1.84281e-02  1.00000e+01  1.13658e+00
 7.29337e+01  1.03597e-05  1.52507e-02  1.40000e+01  1.50446e+00
 7.30466e+01  1.00462e-05  1.80979e-02  2.00000e+00  1.00483e+00
 7.38925e+01  7.98067e-06  1.77052e-02  1.00000e+01  1.13658e+00
 7.40515e+01  7.64281e-06  1.69537e-02  2.00000e+00  1.00483e+00
 7.44381e+01  6.87950e-06  1.56050e-02  1.40000e+01  1.50446e+00
 7.50291e+01  5.85764e-06  1.69000e-02  1.00000e+01  1.13658e+00
 7.50563e+01  5.81440e-06  1.56554e-02  2.00000e+00  1.00483e+00
 7.59426e+01  4.56840e-06  1.59203e-02  1.40000e+01  1.50446e+00
 7.60611e+01  4.42340e-06  1.41609e-02  2.00000e+00  1.00483e+00
 7.61657e+01  4.29938e-06  1.60001e-02  1.00000e+01  1.13658e+00
 7.70660e+01  3.36518e-06  1.23992e-02  2.00000e+00  1.00483e+00
 7.73022e+01  3.15564e-06  1.49885e-02  1.00000e+01  1.13658e+00
 7.74471e+01  3.03369e-06  1.61988e-02  1.40000e+01  1.50446e+00
 7.80708e+01  2.56012e-06  1.02333e-02  2.00000e+00  1.00483e+00
 7.84388e+01  2.31617e-06  1.38408e-02  1.00000e+01  1.13658e+00
 7.89515e+01  2.01455e-06  1.64424e-02  1.40000e+01  1.50446e+00
 7.90756e+01  1.94765e-06  7.31264e-03  2.00000e+00  1.00483e+00
 7.95754e+01  1.70002e-06  1.25195e-02  1.00000e+01  1.13658e+00
 8.00805e+01  1.48171e-06  0.00000e+00  2.00000e+00  5.02417e-01
 8.04560e+01  1.33778e-06  1.66526e-02  1.40000e+01  1.50446e+00
 8.07120e+01  1.24777e-06  1.09620e-02  1.00000e+01  1.13658e+00
 8.18485e+01  9.15836e-07  9.04718e-03  1.00000e+01  1.13658e+00
 8.19605e+01  8.88361e-07  1.68308e-02  1.40000e+01  1.50446e+00
 8.29851e+01  6.72202e-07  6.46502e-03  1.00000e+01  1.13658e+00
 8.33389e+01  6.10500e-07  0.00000e+00  6.00000e+00  6.36307e-01
 8.34649e+01  5.89924e-07  1.69777e-02  1.40000e+01  1.50446e+00
 8.41217e+01  4.93380e-07  0.00000e+00  1.00000e+01  5.68288e-01
 8.43267e+01  4.66610e-07  0.00000e+00  1.80000e+01  9.37919e-01
 8.46116e+01  4.31809e-07  5.77393e-03  6.00000e+00  1.27261e+00
 8.49694e+01  3.91744e-07  1.70944e-02  1.40000e+01  1.50446e+00
 8.58842e+01  3.05419e-07  8.08007e-03  6.00000e+00  1.27261e+00
 8.62025e+01  2.80074e-07  3.91718e-03  1.80000e+01  1.87584e+00
 8.64739e+01  2.60140e-07  1.71814e-02  1.40000e+01  1.50446e+00
 8.71568e+01  2.16024e-07  9.79018e-03  6.00000e+00  1.27261e+00
 8.79783e+01  1.72748e-07  1.72392e-02  1.40000e+01  1.50446e+00
 8.80784e+01  1.68109e-07  5.48172e-03  1.80000e+01  1.87584e+00
 8.84294e+01  1.52794e-07  1.11812e-02  6.00000e+00  1.27261e+00
 8.94828e+01  1.14715e-07  1.72680e-02  1.40000e+01  1.50446e+00
 8.97020e+01  1.08072e-07  1.23612e-02  6.00000e+00  1.27261e+00
 8.99542e+01  1.00904e-07  6.64190e-03  1.80000e+01  1.87584e+00
 9.09746e+01  7.64396e-08  1.33863e-02  6.00000e+00  1.27261e+00
 9.09873e+01  7.61774e-08  1.72680e-02  1.40000e+01  1.50446e+00
 9.18301e+01  6.05657e-08  7.58558e-03  1.80000e+01  1.87584e+00
 9.22472e+01  5.40660e-08  1.42897e-02  6.00000e+00  1.27261e+00
 9.24917e+01  5.05862e-08  1.72392e-02  1.40000e+01  1.50446e+00
 9.35199e+01  3.82410e-08  1.50934e-02  6.00000e+00  1.27261e+00
 9.37059e+01  3.63534e-08  8.38618e-03  1.80000e+01  1.87584e+00
 9.39962e+01  3.35922e-08  1.71814e-02  1.40000e+01  1.50446e+00
 9.47925e+01  2.70480e-08  1.58126e-02  6.00000e+00  1.27261e+00
 9.55006e+01  2.23072e-08  1.70944e-02  1.40000e+01  1.50446e+00
 9.55817e+01  2.18204e-08  9.08160e-03  1.80000e+01  1.87584e+00
 9.60651e+01  1.91311e-08  1.64582e-02  6.00000e+00  1.27261e+00
 9.70051e+01  1.48132e-08  1.69777e-02  1.40000e+01  1.50446e+00
 9.73377e+01  1.35315e-08  1.70388e-02  6.00000e+00  1.27261e+00
 9.74576e+01  1.30973e-08  9.69452e-03  1.80000e+01  1.87584e+00
 9.85096e+01  9.83686e-09  1.68308e-02  1.40000e+01  1.50446e+00
 9.86103e+01  9.57086e-09  1.75607e-02  6.00000e+00  1.27261e+00
 9.93334e+01  7.86138e-09  1.02398e-02  1.80000e+01  1.87584e+00
 9.98829e+01  6.76950e-09  1.80291e-02  6.00000e+00  1.27261e+00
 1.00014e+02  6.53224e-09  1.66526e-02  1.40000e+01  1.50446e+00
 1.01156e+02  4.78809e-09  1.84480e-02  6.00000e+00  1.27261e+00
 1.01209e+02  4.71864e-09  1.07276e-02  1.80000e+01  1.87584e+00
 1.01519e+02  4.33779e-09  1.64424e-02  1.40000e+01  1.50446e+00
