     r (a_0)         v_en         v_ha         v_xc
 1.01558e-05 -5.90795e+05  2.58939e+01 -2.82678e+00
 1.02127e-05 -5.87505e+05  2.58939e+01 -2.84238e+00
 1.02699e-05 -5.84234e+05  2.58939e+01 -2.85785e+00
 1.03274e-05 -5.80981e+05  2.58939e+01 -2.87319e+00
 1.03852e-05 -5.77746e+05  2.58939e+01 -2.88840e+00
 1.04433e-05 -5.74529e+05  2.58939e+01 -2.90349e+00
 1.05018e-05 -5.71330e+05  2.58939e+01 -2.91845e+00
 1.05606e-05 -5.68148e+05  2.58939e+01 -2.93329e+00
 1.06198e-05 -5.64985e+05  2.58939e+01 -2.94800e+00
 1.06792e-05 -5.61839e+05  2.58939e+01 -2.96260e+00
 1.07390e-05 -5.58710e+05  2.58939e+01 -2.97708e+00
 1.07991e-05 -5.55599e+05  2.58939e+01 -2.99144e+00
 1.08596e-05 -5.52506e+05  2.58939e+01 -3.00569e+00
 1.09204e-05 -5.49429e+05  2.58939e+01 -3.01982e+00
 1.09816e-05 -5.46370e+05  2.58939e+01 -3.03384e+00
 1.10431e-05 -5.43328e+05  2.58939e+01 -3.04774e+00
 1.11049e-05 -5.40302e+05  2.58939e+01 -3.06154e+00
 1.11671e-05 -5.37294e+05  2.58939e+01 -3.07523e+00
 1.12296e-05 -5.34302e+05  2.58939e+01 -3.08881e+00
 1.12925e-05 -5.31327e+05  2.58939e+01 -3.10228e+00
 1.13557e-05 -5.28369e+05  2.58939e+01 -3.11565e+00
 1.14193e-05 -5.25427e+05  2.58939e+01 -3.12891e+00
 1.14832e-05 -5.22501e+05  2.58939e+01 -3.14208e+00
 1.15475e-05 -5.19591e+05  2.58939e+01 -3.15514e+00
 1.16122e-05 -5.16698e+05  2.58939e+01 -3.16809e+00
 1.16772e-05 -5.13821e+05  2.58939e+01 -3.18095e+00
 1.17426e-05 -5.10960e+05  2.58939e+01 -3.19371e+00
 1.18083e-05 -5.08115e+05  2.58939e+01 -3.20638e+00
 1.18745e-05 -5.05286e+05  2.58939e+01 -3.21894e+00
 1.19410e-05 -5.02472e+05  2.58939e+01 -3.23142e+00
 1.20078e-05 -4.99674e+05  2.58939e+01 -3.24379e+00
 1.20751e-05 -4.96892e+05  2.58939e+01 -3.25608e+00
 1.21427e-05 -4.94125e+05  2.58939e+01 -3.26827e+00
 1.22107e-05 -4.91374e+05  2.58939e+01 -3.28037e+00
 1.22790e-05 -4.88638e+05  2.58939e+01 -3.29238e+00
 1.23478e-05 -4.85917e+05  2.58939e+01 -3.30430e+00
 1.24169e-05 -4.83211e+05  2.58939e+01 -3.31613e+00
 1.24864e-05 -4.80521e+05  2.58939e+01 -3.32788e+00
 1.25564e-05 -4.77845e+05  2.58939e+01 -3.33953e+00
 1.26267e-05 -4.75185e+05  2.58939e+01 -3.35111e+00
 1.26974e-05 -4.72539e+05  2.58939e+01 -3.36259e+00
 1.27685e-05 -4.69907e+05  2.58939e+01 -3.37399e+00
 1.28400e-05 -4.67291e+05  2.58939e+01 -3.38531e+00
 1.29119e-05 -4.64689e+05  2.58939e+01 -3.39655e+00
 1.29842e-05 -4.62102e+05  2.58939e+01 -3.40770e+00
 1.30569e-05 -4.59528e+05  2.58939e+01 -3.41878e+00
 1.31300e-05 -4.56970e+05  2.58939e+01 -3.42977e+00
 1.32035e-05 -4.54425e+05  2.58939e+01 -3.44068e+00
 1.32774e-05 -4.51895e+05  2.58939e+01 -3.45152e+00
 1.33518e-05 -4.49379e+05  2.58939e+01 -3.46228e+00
 1.34265e-05 -4.46876e+05  2.58939e+01 -3.47296e+00
 1.35017e-05 -4.44388e+05  2.58939e+01 -3.48356e+00
 1.35773e-05 -4.41914e+05  2.58939e+01 -3.49409e+00
 1.36533e-05 -4.39453e+05  2.58939e+01 -3.50454e+00
