      energy       fd occ          dos 
-7.65255e+00  8.65055e-01  0.00000e+00
-7.65167e+00  8.65027e-01  1.67345e+01
-7.65079e+00  8.64999e-01  2.34184e+01
-7.64991e+00  8.64971e-01  2.83748e+01
-7.64904e+00  8.64943e-01  3.24063e+01
-7.64816e+00  8.64915e-01  3.58265e+01
-7.64728e+00  8.64887e-01  3.87974e+01
-7.64640e+00  8.64859e-01  4.14159e+01
-7.64552e+00  8.64831e-01  4.37452e+01
-7.64464e+00  8.64803e-01  4.58294e+01
-7.64377e+00  8.64775e-01  4.77008e+01
-7.64289e+00  8.64747e-01  4.93835e+01
-7.64201e+00  8.64720e-01  5.08961e+01
-7.64113e+00  8.64692e-01  5.22536e+01
-7.64025e+00  8.64664e-01  5.34677e+01
-7.63938e+00  8.64636e-01  5.45479e+01
-7.63850e+00  8.64608e-01  5.55022e+01
-7.63762e+00  8.64580e-01  5.63369e+01
-7.63674e+00  8.64552e-01  5.70572e+01
-7.63586e+00  8.64524e-01  5.76674e+01
-7.63498e+00  8.64496e-01  5.81711e+01
-7.63411e+00  8.64468e-01  5.85709e+01
-7.63323e+00  8.64440e-01  5.88690e+01
-7.63235e+00  8.64412e-01  5.90669e+01
-7.63147e+00  8.64384e-01  5.91656e+01
-7.63059e+00  8.64356e-01  5.91656e+01
-7.62972e+00  8.64328e-01  5.90669e+01
-7.62884e+00  8.64300e-01  5.88690e+01
-7.62796e+00  8.64272e-01  5.85709e+01
-7.62708e+00  8.64244e-01  5.81711e+01
-7.62620e+00  8.64216e-01  5.76674e+01
-7.62532e+00  8.64188e-01  5.70572e+01
-7.62445e+00  8.64159e-01  5.63369e+01
-7.62357e+00  8.64131e-01  5.55022e+01
-7.62269e+00  8.64103e-01  5.45479e+01
-7.62181e+00  8.64075e-01  5.34677e+01
-7.62093e+00  8.64047e-01  5.22536e+01
-7.62006e+00  8.64019e-01  5.08961e+01
-7.61918e+00  8.63991e-01  4.93835e+01
-7.61830e+00  8.63963e-01  4.77008e+01
-7.61742e+00  8.63935e-01  4.58294e+01
-7.61654e+00  8.63907e-01  4.37452e+01
-7.61566e+00  8.63879e-01  4.14159e+01
-7.61479e+00  8.63851e-01  3.87974e+01
-7.61391e+00  8.63823e-01  3.58265e+01
-7.61303e+00  8.63794e-01  3.24063e+01
-7.61215e+00  8.63766e-01  2.83748e+01
-7.61127e+00  8.63738e-01  2.34184e+01
-7.61040e+00  8.63710e-01  1.67345e+01
-7.60952e+00  8.63682e-01  0.00000e+00
 3.03250e-01  4.23857e-01  0.00000e+00
 3.93090e-01  4.17898e-01  1.18994e-01
 4.82929e-01  4.11963e-01  1.66866e-01
 5.72769e-01  4.06054e-01  2.02619e-01
 6.62609e-01  4.00172e-01  2.31927e-01
 7.52448e-01  3.94319e-01  2.57004e-01
 7.72802e-01  3.92997e-01  2.62226e-01
 8.42288e-01  3.88495e-01  7.90852e-01
 8.74440e-01  3.86419e-01  9.02725e-01
 9.32128e-01  3.82704e-01  1.06459e+00
 9.76078e-01  3.79883e-01  1.16761e+00
 1.02197e+00  3.76945e-01  1.26267e+00
 1.07772e+00  3.73389e-01  1.36535e+00
 1.11181e+00  3.71221e-01  1.42262e+00
 1.17935e+00  3.66941e-01  1.52612e+00
 1.20165e+00  3.65533e-01  1.55777e+00
 1.28099e+00  3.60541e-01  1.66185e+00
 1.29149e+00  3.59883e-01  1.67472e+00
 1.38133e+00  3.54270e-01  1.77737e+00
 1.38263e+00  3.54189e-01  1.77877e+00
 1.47117e+00  3.48698e-01  1.86824e+00
 1.48427e+00  3.47889e-01  1.88062e+00
 1.56101e+00  3.43167e-01  1.94907e+00
 1.58590e+00  3.41641e-01  1.96988e+00
 1.65084e+00  3.37678e-01  2.02113e+00
 1.68754e+00  3.35448e-01  2.04826e+00
 1.74068e+00  3.32232e-01  2.08536e+00
 1.78918e+00  3.29311e-01  2.11704e+00
 1.83052e+00  3.26831e-01  2.14249e+00
 1.89082e+00  3.23232e-01  2.17714e+00
 1.92036e+00  3.21475e-01  2.19309e+00
 1.99245e+00  3.17211e-01  2.22929e+00
 2.01020e+00  3.16166e-01  2.23763e+00
 2.09409e+00  3.11252e-01  2.27406e+00
 2.10004e+00  3.10905e-01  2.27646e+00
 2.18988e+00  3.05691e-01  2.30988e+00
 2.19573e+00  3.05354e-01  2.31188e+00
 2.27972e+00  3.00528e-01  2.33813e+00
 2.29737e+00  2.99519e-01  2.34309e+00
 2.36956e+00  2.95414e-01  2.36139e+00
 2.39901e+00  2.93749e-01  2.36796e+00
 2.45940e+00  2.90351e-01  2.37981e+00
 2.50064e+00  2.88044e-01  2.38668e+00
 2.54924e+00  2.85340e-01  2.39351e+00
 2.60228e+00  2.82406e-01  2.39941e+00
 2.63908e+00  2.80381e-01  2.40256e+00
 2.70392e+00  2.76835e-01  2.40623e+00
 2.72892e+00  2.75475e-01  2.40701e+00
 2.80556e+00  2.71332e-01  2.40719e+00
 2.81876e+00  2.70623e-01  2.40688e+00
 2.90719e+00  2.65899e-01  2.40229e+00
 2.90860e+00  2.65824e-01  2.40218e+00
 2.99844e+00  2.61081e-01  2.39286e+00
 3.00883e+00  2.60535e-01  2.39148e+00
 3.08828e+00  2.56392e-01  2.37887e+00
 3.11047e+00  2.55242e-01  2.37468e+00
 3.17812e+00  2.51759e-01  2.36011e+00
 3.21211e+00  2.50021e-01  2.35175e+00
 3.26796e+00  2.47182e-01  2.33646e+00
 3.31374e+00  2.44871e-01  2.32247e+00
 3.35780e+00  2.42661e-01  2.30776e+00
 3.41538e+00  2.39793e-01  2.28660e+00
 3.44764e+00  2.38196e-01  2.27378e+00
 3.51702e+00  2.34787e-01  2.24378e+00
 3.53748e+00  2.33789e-01  2.23428e+00
 3.56897e+00  2.32257e-01  2.21907e+00
 3.61866e+00  2.29855e-01  2.50181e+00
 3.62732e+00  2.29438e-01  2.52274e+00
 3.71095e+00  2.25440e-01  2.65864e+00
 3.71716e+00  2.25145e-01  2.66581e+00
 3.72030e+00  2.24996e-01  2.66934e+00
 3.80700e+00  2.20909e-01  2.74429e+00
 3.82193e+00  2.20210e-01  2.75368e+00
 3.85292e+00  2.18765e-01  2.77048e+00
 3.89684e+00  2.16730e-01  2.78874e+00
 3.92357e+00  2.15497e-01  2.79697e+00
 3.98668e+00  2.12609e-01  2.80849e+00
 3.99490e+00  2.12234e-01  2.80922e+00
 4.02521e+00  2.10859e-01  2.81042e+00
 4.07652e+00  2.08545e-01  2.80726e+00
 4.12685e+00  2.06293e-01  2.79794e+00
 4.13688e+00  2.05847e-01  2.79534e+00
 4.16635e+00  2.04539e-01  2.78629e+00
