      energy       fd occ          dos 
-5.76332e+00  9.99749e-01  0.00000e+00
-5.55098e+00  9.99734e-01  6.92090e-02
-5.33864e+00  9.99718e-01  9.68514e-02
-5.12630e+00  9.99701e-01  1.17350e-01
-4.91395e+00  9.99683e-01  1.34023e-01
-4.70161e+00  9.99665e-01  1.48168e-01
-4.48927e+00  9.99645e-01  1.60455e-01
-4.27693e+00  9.99623e-01  1.71284e-01
-4.06459e+00  9.99601e-01  1.80917e-01
-3.85224e+00  9.99577e-01  1.89537e-01
-3.63990e+00  9.99552e-01  1.97276e-01
-3.42756e+00  9.99526e-01  2.04235e-01
-3.21522e+00  9.99497e-01  2.10491e-01
-3.00288e+00  9.99468e-01  2.16105e-01
-2.79053e+00  9.99436e-01  2.21126e-01
-2.57819e+00  9.99402e-01  2.25594e-01
-2.36585e+00  9.99367e-01  2.29540e-01
-2.15351e+00  9.99329e-01  2.32992e-01
-1.94117e+00  9.99289e-01  2.35971e-01
-1.72883e+00  9.99247e-01  2.38495e-01
-1.51648e+00  9.99202e-01  2.40578e-01
-1.30414e+00  9.99155e-01  2.42232e-01
-1.09180e+00  9.99105e-01  2.43464e-01
-8.79457e-01  9.99051e-01  2.44283e-01
-6.67115e-01  9.98995e-01  2.44691e-01
-4.54774e-01  9.98935e-01  2.44691e-01
-2.42432e-01  9.98872e-01  2.44283e-01
-3.00897e-02  9.98805e-01  2.43464e-01
 1.82252e-01  9.98734e-01  2.42232e-01
 3.94594e-01  9.98659e-01  2.40578e-01
 6.06936e-01  9.98579e-01  2.38495e-01
 8.19278e-01  9.98495e-01  2.35971e-01
 1.03162e+00  9.98405e-01  2.32992e-01
 1.24396e+00  9.98311e-01  2.29540e-01
 1.45630e+00  9.98210e-01  2.25594e-01
 1.66865e+00  9.98104e-01  2.21126e-01
 1.88099e+00  9.97992e-01  2.16105e-01
 2.09333e+00  9.97872e-01  2.10491e-01
 2.30567e+00  9.97746e-01  2.04235e-01
 2.51801e+00  9.97612e-01  1.97276e-01
 2.73036e+00  9.97471e-01  1.89537e-01
 2.94270e+00  9.97321e-01  1.80917e-01
 3.15504e+00  9.97162e-01  1.71284e-01
 3.36738e+00  9.96993e-01  1.60455e-01
 3.57972e+00  9.96815e-01  1.48168e-01
 3.79206e+00  9.96626e-01  1.34023e-01
 4.00441e+00  9.96426e-01  1.17350e-01
 4.21675e+00  9.96215e-01  9.68514e-02
 4.42909e+00  9.95990e-01  6.92090e-02
 4.64143e+00  9.95753e-01  0.00000e+00
 7.59533e+00  9.90562e-01  0.00000e+00
 8.21346e+00  9.88852e-01  7.13248e-02
 8.83159e+00  9.86837e-01  9.98122e-02
 9.44972e+00  9.84463e-01  1.20937e-01
 1.00679e+01  9.81669e-01  1.38120e-01
 1.06860e+01  9.78384e-01  1.52697e-01
 1.13041e+01  9.74525e-01  1.65360e-01
 1.19222e+01  9.69999e-01  1.76520e-01
 1.25404e+01  9.64698e-01  1.86448e-01
 1.31585e+01  9.58500e-01  1.95331e-01
 1.37766e+01  9.51268e-01  2.03307e-01
 1.43948e+01  9.42852e-01  2.10479e-01
 1.50129e+01  9.33084e-01  2.16926e-01
 1.56310e+01  9.21786e-01  2.22712e-01
 1.62491e+01  9.08766e-01  2.27886e-01
 1.68673e+01  8.93828e-01  2.32490e-01
 1.74854e+01  8.76777e-01  2.36558e-01
 1.81035e+01  8.57423e-01  2.40115e-01
 1.87217e+01  8.35600e-01  2.43185e-01
 1.93398e+01  8.11173e-01  2.45786e-01
 1.99579e+01  7.84054e-01  2.47933e-01
 2.05761e+01  7.54220e-01  2.49637e-01
 2.11942e+01  7.21727e-01  2.50907e-01
 2.18123e+01  6.86723e-01  2.51751e-01
 2.24304e+01  6.49454e-01  2.52171e-01
 2.30486e+01  6.10268e-01  2.52171e-01
 2.33675e+01  5.89443e-01  2.52007e-01
 2.34438e+01  5.84408e-01  2.74672e-01
 2.36667e+01  5.69604e-01  3.05909e-01
 2.41971e+01  5.33923e-01  3.42291e-01
 2.42848e+01  5.27980e-01  3.46836e-01
 2.43757e+01  5.21813e-01  3.51288e-01
 2.49030e+01  4.85962e-01  3.73282e-01
 2.50268e+01  4.77549e-01  3.77728e-01
 2.53076e+01  4.58525e-01  3.87046e-01
 2.55211e+01  4.44142e-01  3.93518e-01
 2.58565e+01  4.21741e-01  4.02790e-01
 2.61392e+01  4.03099e-01  4.09870e-01
 2.62396e+01  3.96548e-01  4.12238e-01
 2.66861e+01  3.67863e-01  4.21956e-01
 2.67573e+01  3.63369e-01  4.23390e-01
 2.71715e+01  3.37722e-01  4.31162e-01
 2.73755e+01  3.25420e-01  4.34656e-01
 2.75158e+01  3.17094e-01  4.36938e-01
 2.79936e+01  2.89632e-01  4.44018e-01
 2.81034e+01  2.83524e-01  4.45501e-01
 2.83455e+01  2.70335e-01  4.48589e-01
 2.86117e+01  2.56284e-01  4.51706e-01
 2.90353e+01  2.34937e-01  4.56088e-01
 2.91751e+01  2.28167e-01  4.57384e-01
 2.92299e+01  2.25556e-01  4.57871e-01
 2.98480e+01  1.97534e-01  4.62612e-01
 2.99672e+01  1.92441e-01  4.63368e-01
 3.00048e+01  1.90857e-01  4.63596e-01
 3.04661e+01  1.72219e-01  4.65990e-01
 3.08345e+01  1.58395e-01  4.67369e-01
 3.08992e+01  1.56063e-01  4.67563e-01
 3.10843e+01  1.49544e-01  4.68036e-01
 3.16642e+01  1.30564e-01  4.68745e-01
