      energy       fd occ          dos 
-6.85861e+00  8.99632e-01  0.00000e+00
-6.85524e+00  8.99549e-01  4.35549e+00
-6.85186e+00  8.99466e-01  6.09510e+00
-6.84849e+00  8.99383e-01  7.38510e+00
-6.84511e+00  8.99300e-01  8.43438e+00
-6.84174e+00  8.99217e-01  9.32455e+00
-6.83837e+00  8.99134e-01  1.00978e+01
-6.83499e+00  8.99050e-01  1.07793e+01
-6.83162e+00  8.98967e-01  1.13855e+01
-6.82824e+00  8.98884e-01  1.19280e+01
-6.82487e+00  8.98800e-01  1.24151e+01
-6.82150e+00  8.98717e-01  1.28530e+01
-6.81812e+00  8.98633e-01  1.32467e+01
-6.81475e+00  8.98549e-01  1.36000e+01
-6.81137e+00  8.98466e-01  1.39160e+01
-6.80800e+00  8.98382e-01  1.41972e+01
-6.80462e+00  8.98298e-01  1.44455e+01
-6.80125e+00  8.98214e-01  1.46628e+01
-6.79788e+00  8.98130e-01  1.48503e+01
-6.79450e+00  8.98046e-01  1.50091e+01
-6.79113e+00  8.97962e-01  1.51402e+01
-6.78775e+00  8.97878e-01  1.52442e+01
-6.78438e+00  8.97794e-01  1.53218e+01
-6.78101e+00  8.97709e-01  1.53733e+01
-6.77763e+00  8.97625e-01  1.53990e+01
-6.77426e+00  8.97541e-01  1.53990e+01
-6.77088e+00  8.97456e-01  1.53733e+01
-6.76751e+00  8.97372e-01  1.53218e+01
-6.76414e+00  8.97287e-01  1.52442e+01
-6.76076e+00  8.97202e-01  1.51402e+01
-6.75739e+00  8.97118e-01  1.50091e+01
-6.75401e+00  8.97033e-01  1.48503e+01
-6.75064e+00  8.96948e-01  1.46628e+01
-6.74726e+00  8.96863e-01  1.44455e+01
-6.74389e+00  8.96778e-01  1.41972e+01
-6.74052e+00  8.96693e-01  1.39160e+01
-6.73714e+00  8.96608e-01  1.36000e+01
-6.73377e+00  8.96523e-01  1.32467e+01
-6.73039e+00  8.96438e-01  1.28530e+01
-6.72702e+00  8.96352e-01  1.24151e+01
-6.72365e+00  8.96267e-01  1.19280e+01
-6.72027e+00  8.96182e-01  1.13855e+01
-6.71690e+00  8.96096e-01  1.07793e+01
-6.71352e+00  8.96011e-01  1.00978e+01
-6.71015e+00  8.95925e-01  9.32455e+00
-6.70678e+00  8.95839e-01  8.43438e+00
-6.70340e+00  8.95754e-01  7.38510e+00
-6.70003e+00  8.95668e-01  6.09510e+00
-6.69665e+00  8.95582e-01  4.35549e+00
-6.69328e+00  8.95496e-01  0.00000e+00
 9.33867e-01  5.18168e-01  0.00000e+00
 1.05036e+00  5.10249e-01  7.94642e-02
 1.16686e+00  5.02326e-01  1.11522e-01
 1.16878e+00  5.02195e-01  1.11968e-01
 1.28335e+00  4.94401e-01  5.35154e-01
 1.32281e+00  4.91717e-01  6.04253e-01
 1.39985e+00  4.86479e-01  7.16587e-01
 1.47685e+00  4.81246e-01  8.10078e-01
 1.51634e+00  4.78564e-01  8.52943e-01
 1.63088e+00  4.70792e-01  9.62984e-01
 1.63284e+00  4.70660e-01  9.64711e-01
 1.74933e+00  4.62770e-01  1.06001e+00
 1.78491e+00  4.60364e-01  1.08653e+00
 1.86583e+00  4.54899e-01  1.14307e+00
 1.93894e+00  4.49970e-01  1.19014e+00
 1.98232e+00  4.47050e-01  1.21646e+00
 2.09297e+00  4.39620e-01  1.27875e+00
 2.09882e+00  4.39228e-01  1.28186e+00
 2.21531e+00  4.31436e-01  1.34047e+00
 2.24701e+00  4.29321e-01  1.35535e+00
 2.33181e+00  4.23677e-01  1.39313e+00
 2.40104e+00  4.19084e-01  1.42190e+00
 2.44830e+00  4.15956e-01  1.44052e+00
 2.55507e+00  4.08916e-01  1.47976e+00
 2.56480e+00  4.08276e-01  1.48315e+00
 2.68129e+00  4.00641e-01  1.52140e+00
 2.70910e+00  3.98825e-01  1.52992e+00
 2.79778e+00  3.93053e-01  1.55561e+00
 2.86313e+00  3.88819e-01  1.57313e+00
 2.91428e+00  3.85517e-01  1.58603e+00
 3.01717e+00  3.78907e-01  1.60993e+00
 3.03077e+00  3.78035e-01  1.61289e+00
 3.14727e+00  3.70611e-01  1.63635e+00
 3.17120e+00  3.69094e-01  1.64076e+00
 3.26376e+00  3.63248e-01  1.65656e+00
 3.32523e+00  3.59388e-01  1.66595e+00
 3.38026e+00  3.55948e-01  1.67363e+00
 3.47926e+00  3.49796e-01  1.68574e+00
 3.49675e+00  3.48714e-01  1.68765e+00
 3.61325e+00  3.41550e-01  1.69871e+00
 3.63329e+00  3.40324e-01  1.70032e+00
 3.72974e+00  3.34457e-01  1.70685e+00
 3.78733e+00  3.30978e-01  1.70981e+00
 3.84624e+00  3.27438e-01  1.71211e+00
 3.94136e+00  3.21764e-01  1.71429e+00
 3.96273e+00  3.20496e-01  1.71452e+00
 4.07923e+00  3.13632e-01  1.71408e+00
 4.09539e+00  3.12686e-01  1.71379e+00
 4.19572e+00  3.06849e-01  1.71078e+00
 4.24942e+00  3.03750e-01  1.70829e+00
 4.31222e+00  3.00148e-01  1.70460e+00
 4.40345e+00  2.94959e-01  1.69773e+00
 4.42871e+00  2.93532e-01  1.69551e+00
 4.54521e+00  2.87001e-01  1.68344e+00
 4.55749e+00  2.86318e-01  1.68199e+00
 4.66170e+00  2.80558e-01  1.66832e+00
 4.71152e+00  2.77831e-01  1.66090e+00
 4.76188e+00  2.75089e-01  1.65281e+00
 4.77820e+00  2.74205e-01  1.76500e+00
 4.86555e+00  2.69500e-01  1.92253e+00
 4.89469e+00  2.67941e-01  1.95433e+00
 4.95131e+00  2.64930e-01  2.00473e+00
 5.01119e+00  2.61769e-01  2.04711e+00
 5.01958e+00  2.61328e-01  2.05237e+00
 5.12768e+00  2.55690e-01  2.10880e+00
 5.14075e+00  2.55014e-01  2.11442e+00
 5.17361e+00  2.53318e-01  2.12757e+00
 5.24418e+00  2.49704e-01  2.15153e+00
 5.32765e+00  2.45473e-01  2.17327e+00
 5.33018e+00  2.45345e-01  2.17383e+00
 5.36067e+00  2.43812e-01  2.18009e+00
 5.47717e+00  2.38015e-01  2.19681e+00
 5.48168e+00  2.37793e-01  2.19724e+00
 5.51961e+00  2.35927e-01  2.20021e+00
 5.59366e+00  2.32314e-01  2.20286e+00
 5.63571e+00  2.30279e-01  2.20254e+00
 5.70905e+00  2.26761e-01  2.19882e+00
 5.71016e+00  2.26708e-01  2.19874e+00
 5.78974e+00  2.22934e-01  2.19008e+00
 5.82665e+00  2.21199e-01  2.18441e+00
 5.89848e+00  2.17850e-01  2.17030e+00
 5.94315e+00  2.15786e-01  2.15937e+00
 5.94377e+00  2.15758e-01  2.15921e+00
 6.05964e+00  2.10470e-01  2.12251e+00
 6.08792e+00  2.09195e-01  2.11158e+00
 6.09780e+00  2.08750e-01  2.10756e+00
 6.17614e+00  2.05251e-01  2.07181e+00
 6.25184e+00  2.01911e-01  2.02982e+00
 6.27735e+00  2.00795e-01  2.01375e+00
 6.29263e+00  2.00128e-01  2.00361e+00
 6.40587e+00  1.95241e-01  1.91361e+00
 6.40913e+00  1.95102e-01  1.91055e+00
 6.46679e+00  1.92650e-01  1.85049e+00
 6.52562e+00  1.90172e-01  1.77346e+00
 6.55990e+00  1.88740e-01  1.71662e+00
 6.64212e+00  1.85338e-01  1.39193e+00
 6.65622e+00  1.84759e-01  1.39437e+00
 6.71393e+00  1.82406e-01  1.40405e+00
 6.84566e+00  1.77121e-01  1.42430e+00
 6.86796e+00  1.76238e-01  1.42747e+00
 7.02200e+00  1.70235e-01  1.44749e+00
 7.03509e+00  1.69732e-01  1.44904e+00
 7.17603e+00  1.64396e-01  1.46420e+00
 7.22453e+00  1.62591e-01  1.46878e+00
 7.33006e+00  1.58719e-01  1.47765e+00
 7.41396e+00  1.55694e-01  1.48361e+00
 7.48409e+00  1.53202e-01  1.48785e+00
 7.60340e+00  1.49038e-01  1.49347e+00
 7.63812e+00  1.47843e-01  1.49472e+00
 7.79216e+00  1.42640e-01  1.49811e+00
 7.79283e+00  1.42618e-01  1.49812e+00
 7.94619e+00  1.37591e-01  1.49777e+00
 7.98227e+00  1.36430e-01  1.49711e+00
 8.10022e+00  1.32692e-01  1.49323e+00
 8.17170e+00  1.30470e-01  1.48948e+00
 8.25425e+00  1.27942e-01  1.48366e+00
 8.36113e+00  1.24732e-01  1.47326e+00
 8.40828e+00  1.23338e-01  1.46741e+00
 8.55057e+00  1.19213e-01  1.44284e+00
 8.56232e+00  1.18877e-01  1.44014e+00
 8.71635e+00  1.14557e-01  1.35659e+00
 8.74000e+00  1.13905e-01  1.35762e+00
 8.92944e+00  1.08805e-01  1.36453e+00
 9.11887e+00  1.03907e-01  1.36911e+00
 9.26963e+00  1.00149e-01  1.37112e+00
 9.30831e+00  9.92041e-02  1.52646e+00
 9.49774e+00  9.46919e-02  1.74514e+00
 9.52839e+00  9.39794e-02  1.76875e+00
 9.68718e+00  9.03643e-02  1.87089e+00
 9.78714e+00  8.81530e-02  1.92333e+00
 9.87661e+00  8.62156e-02  1.96483e+00
 1.00459e+01  8.26549e-02  2.03256e+00
 1.00660e+01  8.22402e-02  2.03982e+00
 1.02555e+01  7.84324e-02  2.10129e+00
 1.03047e+01  7.74706e-02  2.11542e+00
 1.04449e+01  7.47865e-02  2.15210e+00
 1.05634e+01  7.25857e-02  2.17925e+00
 1.06344e+01  7.12970e-02  2.19395e+00
 1.08222e+01  6.79861e-02  2.22769e+00
 1.08238e+01  6.79584e-02  2.22795e+00
 1.10132e+01  6.47652e-02  2.25483e+00
 1.10809e+01  6.36580e-02  2.26282e+00
 1.12027e+01  6.17120e-02  2.27509e+00
 1.13397e+01  5.95878e-02  2.28580e+00
 1.13921e+01  5.87938e-02  2.28905e+00
 1.15815e+01  5.60053e-02  2.29687e+00
 1.15985e+01  5.57623e-02  2.29728e+00
 1.17710e+01  5.33416e-02  2.29865e+00
 1.18572e+01  5.21688e-02  2.29744e+00
 1.19604e+01  5.07978e-02  2.29433e+00
 1.21160e+01  4.87950e-02  2.28613e+00
 1.21498e+01  4.83691e-02  2.28378e+00
 1.23393e+01  4.60508e-02  2.26671e+00
 1.23747e+01  4.56288e-02  2.26277e+00
 1.24559e+01  4.46764e-02  2.25279e+00
 1.25287e+01  4.38386e-02  2.36291e+00
 1.26335e+01  4.26588e-02  2.41302e+00
 1.26708e+01  4.22455e-02  2.42491e+00
 1.27181e+01  4.17280e-02  2.43720e+00
 1.28858e+01  3.99414e-02  2.46324e+00
 1.28922e+01  3.98741e-02  2.46380e+00
 1.29076e+01  3.97147e-02  2.46503e+00
 1.30970e+01  3.77948e-02  2.46806e+00
 1.31007e+01  3.77580e-02  2.46791e+00
 1.31510e+01  3.72641e-02  2.46508e+00
 1.32864e+01  3.59642e-02  2.45025e+00
 1.33157e+01  3.56895e-02  2.44564e+00
 1.34098e+01  3.48187e-02  2.42716e+00
 1.34759e+01  3.42191e-02  2.41063e+00
 1.35306e+01  3.37304e-02  2.39448e+00
 1.36653e+01  3.25559e-02  2.34348e+00
 1.36685e+01  3.25284e-02  2.34204e+00
 1.37455e+01  3.18752e-02  2.30340e+00
 1.38547e+01  3.09709e-02  2.23120e+00
 1.39273e+01  3.03840e-02  2.16436e+00
 1.39605e+01  3.01189e-02  2.12447e+00
 1.40442e+01  2.94607e-02  1.88151e+00
 1.41754e+01  2.84565e-02  1.90565e+00
 1.41860e+01  2.83768e-02  1.90752e+00
 1.43904e+01  2.68834e-02  1.94139e+00
 1.44448e+01  2.64986e-02  1.94974e+00
 1.46053e+01  2.53949e-02  1.97282e+00
 1.47035e+01  2.47415e-02  1.98584e+00
 1.48118e+01  2.40404e-02  1.99925e+00
 1.48202e+01  2.39868e-02  2.06582e+00
 1.49623e+01  2.30982e-02  2.29246e+00
 1.50352e+01  2.26550e-02  2.35960e+00
 1.51228e+01  2.21327e-02  2.42757e+00
 1.52211e+01  2.15616e-02  2.49324e+00
 1.52501e+01  2.13955e-02  2.51109e+00
 1.54339e+01  2.03733e-02  2.61168e+00
 1.54651e+01  2.02045e-02  2.62704e+00
 1.54798e+01  2.01252e-02  2.63416e+00
 1.56800e+01  1.90786e-02  2.72251e+00
 1.57386e+01  1.87826e-02  2.74585e+00
 1.57449e+01  1.87510e-02  2.74830e+00
 1.58949e+01  1.80143e-02  2.80350e+00
 1.59973e+01  1.75279e-02  2.83797e+00
 1.60559e+01  1.72556e-02  2.85663e+00
 1.61099e+01  1.70083e-02  2.87318e+00
 1.62561e+01  1.63557e-02  2.91511e+00
 1.63248e+01  1.60575e-02  2.93343e+00
 1.63669e+01  1.58776e-02  2.94424e+00
 1.65149e+01  1.52606e-02  2.97986e+00
 1.65398e+01  1.51591e-02  2.98551e+00
 1.66779e+01  1.46080e-02  3.01508e+00
 1.67547e+01  1.43103e-02  3.03027e+00
 1.67736e+01  1.42378e-02  3.03388e+00
 1.69696e+01  1.35083e-02  3.06834e+00
 1.69837e+01  1.34575e-02  3.07061e+00
 1.69889e+01  1.34385e-02  3.07928e+00
 1.70324e+01  1.32827e-02  3.10202e+00
 1.71846e+01  1.27506e-02  3.14814e+00
 1.72662e+01  1.24742e-02  3.16740e+00
 1.72911e+01  1.23908e-02  3.17285e+00
 1.72999e+01  1.23614e-02  3.17473e+00
 1.73995e+01  1.20350e-02  3.19456e+00
