      energy       fd occ          dos 
-6.00379e+00  9.41581e-01  0.00000e+00
-5.99052e+00  9.41382e-01  1.10729e+00
-5.97724e+00  9.41182e-01  1.54955e+00
-5.96397e+00  9.40982e-01  1.87751e+00
-5.95070e+00  9.40781e-01  2.14426e+00
-5.93743e+00  9.40580e-01  2.37057e+00
-5.92416e+00  9.40378e-01  2.56715e+00
-5.91088e+00  9.40175e-01  2.74041e+00
-5.89761e+00  9.39971e-01  2.89453e+00
-5.88434e+00  9.39767e-01  3.03245e+00
-5.87107e+00  9.39562e-01  3.15627e+00
-5.85780e+00  9.39357e-01  3.26761e+00
-5.84452e+00  9.39151e-01  3.36770e+00
-5.83125e+00  9.38944e-01  3.45752e+00
-5.81798e+00  9.38737e-01  3.53785e+00
-5.80471e+00  9.38529e-01  3.60933e+00
-5.79144e+00  9.38320e-01  3.67247e+00
-5.77816e+00  9.38111e-01  3.72770e+00
-5.76489e+00  9.37901e-01  3.77536e+00
-5.75162e+00  9.37690e-01  3.81574e+00
-5.73835e+00  9.37479e-01  3.84907e+00
-5.72508e+00  9.37267e-01  3.87552e+00
-5.71180e+00  9.37054e-01  3.89525e+00
-5.69853e+00  9.36841e-01  3.90834e+00
-5.68526e+00  9.36627e-01  3.91487e+00
-5.67199e+00  9.36412e-01  3.91487e+00
-5.65872e+00  9.36197e-01  3.90834e+00
-5.64545e+00  9.35981e-01  3.89525e+00
-5.63217e+00  9.35764e-01  3.87552e+00
-5.61890e+00  9.35546e-01  3.84907e+00
-5.60563e+00  9.35328e-01  3.81574e+00
-5.59236e+00  9.35110e-01  3.77536e+00
-5.57909e+00  9.34890e-01  3.72770e+00
-5.56581e+00  9.34670e-01  3.67247e+00
-5.55254e+00  9.34449e-01  3.60933e+00
-5.53927e+00  9.34227e-01  3.53785e+00
-5.52600e+00  9.34005e-01  3.45752e+00
-5.51273e+00  9.33782e-01  3.36770e+00
-5.49945e+00  9.33559e-01  3.26761e+00
-5.48618e+00  9.33334e-01  3.15627e+00
-5.47291e+00  9.33109e-01  3.03245e+00
-5.45964e+00  9.32883e-01  2.89453e+00
-5.44637e+00  9.32657e-01  2.74041e+00
-5.43309e+00  9.32430e-01  2.56715e+00
-5.41982e+00  9.32202e-01  2.37057e+00
-5.40655e+00  9.31973e-01  2.14426e+00
-5.39328e+00  9.31744e-01  1.87751e+00
-5.38001e+00  9.31514e-01  1.54955e+00
-5.36673e+00  9.31283e-01  1.10729e+00
-5.35346e+00  9.31052e-01  0.00000e+00
 1.85543e+00  6.55051e-01  0.00000e+00
 2.02168e+00  6.44758e-01  2.65183e-01
 2.18794e+00  6.34330e-01  3.71098e-01
 2.35419e+00  6.23773e-01  4.49639e-01
 2.46748e+00  6.16512e-01  4.94392e-01
 2.52045e+00  6.13099e-01  5.42695e-01
 2.68670e+00  6.02314e-01  6.26644e-01
 2.70653e+00  6.01020e-01  6.35152e-01
 2.85296e+00  5.91429e-01  6.92367e-01
 2.94558e+00  5.85324e-01  7.24565e-01
 3.01921e+00  5.80453e-01  7.48408e-01
 3.18464e+00  5.69453e-01  7.97269e-01
 3.18547e+00  5.69398e-01  7.97499e-01
 3.35172e+00  5.58273e-01  8.41096e-01
 3.42369e+00  5.53438e-01  8.58507e-01
 3.51798e+00  5.47089e-01  8.80119e-01
 3.66274e+00  5.37311e-01  9.10874e-01
 3.68423e+00  5.35857e-01  9.15206e-01
 3.85049e+00  5.24588e-01  9.46825e-01
 3.90179e+00  5.21106e-01  9.55940e-01
 4.01674e+00  5.13295e-01  9.75331e-01
 4.14084e+00  5.04856e-01  9.94746e-01
 4.18300e+00  5.01988e-01  1.00100e+00
 4.34925e+00  4.90679e-01  1.02405e+00
 4.37989e+00  4.88596e-01  1.02803e+00
 4.51551e+00  4.79380e-01  1.04466e+00
 4.61894e+00  4.72359e-01  1.05632e+00
 4.68176e+00  4.68101e-01  1.06298e+00
 4.84801e+00  4.56855e-01  1.07911e+00
 4.85799e+00  4.56182e-01  1.08002e+00
 5.01427e+00  4.45653e-01  1.09317e+00
 5.09705e+00  4.40096e-01  1.09942e+00
 5.18052e+00  4.34506e-01  1.10523e+00
 5.33610e+00  4.24135e-01  1.11475e+00
 5.34678e+00  4.23425e-01  1.11535e+00
 5.51303e+00  4.12420e-01  1.12358e+00
 5.57515e+00  4.08330e-01  1.12618e+00
 5.67929e+00  4.01502e-01  1.12996e+00
 5.81420e+00  3.92713e-01  1.13381e+00
 5.84554e+00  3.90681e-01  1.13453e+00
 6.01180e+00  3.79967e-01  1.13730e+00
 6.05325e+00  3.77313e-01  1.13771e+00
 6.17805e+00  3.69368e-01  1.13827e+00
 6.29230e+00  3.62156e-01  1.13791e+00
 6.34431e+00  3.58893e-01  1.13746e+00
 6.51056e+00  3.48552e-01  1.13485e+00
 6.53135e+00  3.47268e-01  1.13440e+00
 6.67682e+00  3.38351e-01  1.13042e+00
 6.77040e+00  3.32674e-01  1.12712e+00
 6.81445e+00  3.30018e-01  1.12537e+00
 6.84307e+00  3.28298e-01  1.21299e+00
 7.00933e+00  3.18401e-01  1.34635e+00
 7.00946e+00  3.18393e-01  1.34642e+00
 7.08565e+00  3.13911e-01  1.38256e+00
 7.17558e+00  3.08664e-01  1.41750e+00
 7.24851e+00  3.04446e-01  1.44149e+00
 7.34184e+00  2.99095e-01  1.46793e+00
 7.35684e+00  2.98240e-01  1.47180e+00
 7.48756e+00  2.90849e-01  1.50175e+00
 7.50809e+00  2.89698e-01  1.50590e+00
 7.62804e+00  2.83028e-01  1.52752e+00
 7.67435e+00  2.80478e-01  1.53476e+00
 7.72661e+00  2.77617e-01  1.54225e+00
 7.84060e+00  2.71439e-01  1.55622e+00
 7.89923e+00  2.68296e-01  1.56223e+00
 7.96566e+00  2.64762e-01  1.56810e+00
 8.00686e+00  2.62585e-01  1.57127e+00
 8.17043e+00  2.54058e-01  1.58035e+00
 8.17311e+00  2.53920e-01  1.58045e+00
 8.20471e+00  2.52294e-01  1.58156e+00
 8.33937e+00  2.45445e-01  1.58405e+00
 8.44162e+00  2.40328e-01  1.58355e+00
 8.44376e+00  2.40222e-01  1.58351e+00
 8.50562e+00  2.37163e-01  1.58217e+00
 8.67188e+00  2.29076e-01  1.57470e+00
 8.68281e+00  2.28551e-01  1.57401e+00
 8.71282e+00  2.27115e-01  1.57198e+00
 8.83813e+00  2.21185e-01  1.56137e+00
 8.92187e+00  2.17285e-01  1.55229e+00
 8.98401e+00  2.14422e-01  1.54445e+00
 9.00439e+00  2.13490e-01  1.54167e+00
 9.16092e+00  2.06425e-01  1.51652e+00
 9.17064e+00  2.05992e-01  1.51473e+00
 9.25521e+00  2.02254e-01  1.49783e+00
