      energy       fd occ          dos 
-5.52274e+00  9.73298e-01  0.00000e+00
-5.48769e+00  9.73049e-01  4.19213e-01
-5.45263e+00  9.72798e-01  5.86648e-01
-5.41758e+00  9.72544e-01  7.10810e-01
-5.38252e+00  9.72288e-01  8.11802e-01
-5.34746e+00  9.72030e-01  8.97481e-01
-5.31241e+00  9.71770e-01  9.71905e-01
-5.27735e+00  9.71507e-01  1.03750e+00
-5.24229e+00  9.71242e-01  1.09585e+00
-5.20724e+00  9.70974e-01  1.14806e+00
-5.17218e+00  9.70704e-01  1.19494e+00
-5.13713e+00  9.70431e-01  1.23709e+00
-5.10207e+00  9.70156e-01  1.27499e+00
-5.06701e+00  9.69879e-01  1.30899e+00
-5.03196e+00  9.69599e-01  1.33941e+00
-4.99690e+00  9.69317e-01  1.36647e+00
-4.96185e+00  9.69032e-01  1.39037e+00
-4.92679e+00  9.68744e-01  1.41128e+00
-4.89173e+00  9.68454e-01  1.42932e+00
-4.85668e+00  9.68161e-01  1.44461e+00
-4.82162e+00  9.67866e-01  1.45723e+00
-4.78656e+00  9.67568e-01  1.46724e+00
-4.75151e+00  9.67267e-01  1.47471e+00
-4.71645e+00  9.66964e-01  1.47967e+00
-4.68140e+00  9.66658e-01  1.48214e+00
-4.64634e+00  9.66349e-01  1.48214e+00
-4.61128e+00  9.66037e-01  1.47967e+00
-4.57623e+00  9.65723e-01  1.47471e+00
-4.54117e+00  9.65406e-01  1.46724e+00
-4.50612e+00  9.65086e-01  1.45723e+00
-4.47106e+00  9.64763e-01  1.44461e+00
-4.43600e+00  9.64437e-01  1.42932e+00
-4.40095e+00  9.64108e-01  1.41128e+00
-4.36589e+00  9.63777e-01  1.39037e+00
-4.33084e+00  9.63442e-01  1.36647e+00
-4.29578e+00  9.63105e-01  1.33941e+00
-4.26072e+00  9.62764e-01  1.30899e+00
-4.22567e+00  9.62421e-01  1.27499e+00
-4.19061e+00  9.62074e-01  1.23709e+00
-4.15555e+00  9.61725e-01  1.19494e+00
-4.12050e+00  9.61372e-01  1.14806e+00
-4.08544e+00  9.61016e-01  1.09585e+00
-4.05039e+00  9.60657e-01  1.03750e+00
-4.01533e+00  9.60295e-01  9.71905e-01
-3.98027e+00  9.59930e-01  8.97481e-01
-3.94522e+00  9.59561e-01  8.11802e-01
-3.91016e+00  9.59190e-01  7.10810e-01
-3.87511e+00  9.58815e-01  5.86648e-01
-3.84005e+00  9.58436e-01  4.19213e-01
-3.80499e+00  9.58055e-01  0.00000e+00
 2.74324e+00  7.93585e-01  0.00000e+00
 2.97994e+00  7.82834e-01  1.86263e-01
 3.21663e+00  7.71685e-01  2.60658e-01
 3.45333e+00  7.60139e-01  3.15825e-01
 3.69003e+00  7.48200e-01  3.60697e-01
 3.92672e+00  7.35873e-01  3.98766e-01
 4.16342e+00  7.23166e-01  4.31833e-01
 4.40012e+00  7.10088e-01  4.60978e-01
 4.63682e+00  6.96651e-01  4.86904e-01
 4.87351e+00  6.82870e-01  5.10103e-01
 5.07479e+00  6.70892e-01  5.27954e-01
 5.11021e+00  6.68760e-01  5.45206e-01
 5.34691e+00  6.54341e-01  5.88940e-01
 5.41170e+00  6.50342e-01  5.98070e-01
 5.58360e+00  6.39632e-01  6.19816e-01
 5.74861e+00  6.29218e-01  6.38246e-01
 5.82030e+00  6.24656e-01  6.45668e-01
 6.05700e+00  6.09438e-01  6.68096e-01
 6.08553e+00  6.07589e-01  6.70607e-01
 6.29370e+00  5.94004e-01  6.87817e-01
 6.42244e+00  5.85528e-01  6.97559e-01
 6.53039e+00  5.78381e-01  7.05239e-01
 6.75935e+00  5.63119e-01  7.20156e-01
 6.76709e+00  5.62601e-01  7.20629e-01
 7.00379e+00  5.46692e-01  7.34175e-01
 7.09626e+00  5.40449e-01  7.38998e-01
 7.24048e+00  5.30688e-01  7.46016e-01
 7.43318e+00  5.17611e-01  7.54470e-01
 7.47718e+00  5.14620e-01  7.56257e-01
 7.71388e+00  4.98522e-01  7.64980e-01
 7.77009e+00  4.94699e-01  7.66835e-01
 7.95057e+00  4.82428e-01  7.72247e-01
 8.10700e+00  4.71809e-01  7.76276e-01
 8.18727e+00  4.66369e-01  7.78108e-01
 8.42397e+00  4.50380e-01  7.82600e-01
 8.44391e+00  4.49037e-01  7.82917e-01
 8.66067e+00  4.34493e-01  7.85750e-01
 8.78083e+00  4.26476e-01  7.86841e-01
 8.89736e+00  4.18739e-01  7.87574e-01
 9.11774e+00  4.04218e-01  7.88090e-01
 9.13406e+00  4.03149e-01  7.88083e-01
 9.37076e+00  3.87752e-01  7.87278e-01
 9.44147e+00  3.83194e-01  7.86782e-01
 9.45465e+00  3.82347e-01  8.23633e-01
 9.60745e+00  3.72577e-01  9.15758e-01
 9.79156e+00  3.60942e-01  9.71300e-01
 9.81745e+00  3.59319e-01  9.77586e-01
 9.84415e+00  3.57648e-01  9.83798e-01
 1.00808e+01  3.42990e-01  1.02987e+00
 1.01285e+01  3.40076e-01  1.03763e+00
 1.01934e+01  3.36120e-01  1.04759e+00
 1.03175e+01  3.28626e-01  1.06483e+00
 1.04654e+01  3.19812e-01  1.08275e+00
 1.05542e+01  3.14576e-01  1.09232e+00
 1.05694e+01  3.13686e-01  1.09387e+00
 1.07909e+01  3.00857e-01  1.11405e+00
 1.08023e+01  3.00207e-01  1.11497e+00
 1.09454e+01  2.92090e-01  1.12560e+00
 1.10276e+01  2.87485e-01  1.13097e+00
 1.11392e+01  2.81306e-01  1.13746e+00
 1.12643e+01  2.74474e-01  1.14367e+00
 1.13214e+01  2.71394e-01  1.14613e+00
 1.14761e+01  2.63148e-01  1.15172e+00
 1.15010e+01  2.61836e-01  1.15247e+00
 1.16974e+01  2.51642e-01  1.15696e+00
 1.17377e+01  2.49580e-01  1.15758e+00
 1.18130e+01  2.45761e-01  1.15844e+00
 1.19744e+01  2.37712e-01  1.15907e+00
 1.20733e+01  2.32869e-01  1.15863e+00
 1.21500e+01  2.29166e-01  1.15784e+00
 1.22111e+01  2.26239e-01  1.15694e+00
 1.24478e+01  2.15163e-01  1.15105e+00
 1.24493e+01  2.15093e-01  1.15100e+00
 1.24869e+01  2.13374e-01  1.14970e+00
 1.26845e+01  2.04486e-01  1.14117e+00
 1.28238e+01  1.98390e-01  1.13335e+00
 1.28253e+01  1.98324e-01  1.13325e+00
 1.29212e+01  1.94208e-01  1.12691e+00
 1.31579e+01  1.84326e-01  1.10765e+00
 1.31607e+01  1.84213e-01  1.10739e+00
 1.32013e+01  1.82558e-01  1.10351e+00
 1.33946e+01  1.74839e-01  1.08238e+00
 1.34976e+01  1.70832e-01  1.06911e+00
 1.35773e+01  1.67783e-01  1.05771e+00
 1.36313e+01  1.65740e-01  1.04935e+00
 1.38345e+01  1.58235e-01  1.01229e+00
 1.38680e+01  1.57025e-01  1.00513e+00
 1.39533e+01  1.53978e-01  9.85123e-01
 1.41047e+01  1.48686e-01  9.40817e-01
 1.41714e+01  1.46403e-01  9.15548e-01
 1.43292e+01  1.41117e-01  8.05978e-01
 1.43414e+01  1.40717e-01  7.63814e-01
 1.45083e+01  1.35313e-01  7.69868e-01
 1.47052e+01  1.29166e-01  7.76515e-01
 1.48453e+01  1.24940e-01  7.80925e-01
 1.50812e+01  1.18088e-01  7.87774e-01
 1.51822e+01  1.15257e-01  7.90486e-01
 1.54572e+01  1.07842e-01  7.97219e-01
 1.55191e+01  1.06233e-01  7.98605e-01
 1.58332e+01  9.83864e-02  8.04912e-01
 1.58560e+01  9.78370e-02  8.05324e-01
 1.61929e+01  9.00380e-02  8.10676e-01
 1.62092e+01  8.96763e-02  8.10900e-01
 1.65298e+01  8.28036e-02  8.14682e-01
 1.65851e+01  8.16675e-02  8.15213e-01
 1.68667e+01  7.61019e-02  8.17357e-01
 1.69611e+01  7.43155e-02  8.17868e-01
 1.72036e+01  6.99013e-02  8.18703e-01
 1.73371e+01  6.75767e-02  8.18867e-01
 1.75406e+01  6.41708e-02  8.18714e-01
 1.77131e+01  6.14084e-02  8.18199e-01
 1.78775e+01  5.88803e-02  8.17376e-01
 1.80424e+01  5.64426e-02  8.16221e-01
 1.80891e+01  5.57695e-02  8.78239e-01
 1.82144e+01  5.40008e-02  9.34117e-01
 1.84650e+01  5.06204e-02  9.98019e-01
 1.85481e+01  4.95458e-02  1.01400e+00
 1.85513e+01  4.95044e-02  1.01458e+00
 1.88410e+01  4.59237e-02  1.05989e+00
 1.88882e+01  4.53645e-02  1.06615e+00
 1.90538e+01  4.34530e-02  1.08625e+00
 1.92170e+01  4.16435e-02  1.10365e+00
 1.92251e+01  4.15556e-02  1.10446e+00
 1.95595e+01  3.80794e-02  1.13386e+00
 1.95620e+01  3.80538e-02  1.13406e+00
 1.95930e+01  3.77466e-02  1.13642e+00
