        eigs         occs          dos      l_degen     k_int_wt 
 6.64959e+01  3.03874e-11  1.00000e+00  2.60000e+01  1.00000e+00
 6.66325e+01  2.90412e-11  1.00000e+00  4.60000e+01  1.00000e+00
 6.73409e+01  2.29568e-11  1.00000e+00  5.80000e+01  1.00000e+00
 6.79789e+01  1.85766e-11  1.00000e+00  1.80000e+01  1.00000e+00
 6.82999e+01  1.66994e-11  1.00000e+00  1.00000e+01  1.00000e+00
 7.05835e+01  7.82691e-12  1.00000e+00  3.80000e+01  1.00000e+00
 7.29569e+01  3.56073e-12  1.00000e+00  5.00000e+01  1.00000e+00
 7.35231e+01  2.95084e-12  1.00000e+00  3.00000e+01  1.00000e+00
 7.54937e+01  1.53443e-12  1.00000e+00  2.20000e+01  1.00000e+00
 7.59245e+01  1.33002e-12  1.00000e+00  6.00000e+00  1.00000e+00
 7.64278e+01  1.12545e-12  1.00000e+00  1.40000e+01  1.00000e+00
 7.73795e+01  1.00000e-12  1.00000e+00  4.20000e+01  1.00000e+00
 7.95080e+01  1.00000e-12  1.00000e+00  5.40000e+01  1.00000e+00
 8.07746e+01  1.00000e-12  1.00000e+00  3.40000e+01  1.00000e+00
 8.29648e+01  1.00000e-12  1.00000e+00  2.00000e+00  1.00000e+00
 8.32100e+01  1.00000e-12  1.00000e+00  2.60000e+01  1.00000e+00
 8.44058e+01  1.00000e-12  1.00000e+00  4.60000e+01  1.00000e+00
 8.46703e+01  1.00000e-12  1.00000e+00  1.80000e+01  1.00000e+00
 8.49814e+01  1.00000e-12  1.00000e+00  1.00000e+01  1.00000e+00
 8.62852e+01  1.00000e-12  1.00000e+00  5.80000e+01  1.00000e+00
 8.82551e+01  1.00000e-12  1.00000e+00  3.80000e+01  1.00000e+00
 9.11431e+01  1.00000e-12  1.00000e+00  3.00000e+01  1.00000e+00
 9.16627e+01  1.00000e-12  1.00000e+00  5.00000e+01  1.00000e+00
 9.30864e+01  1.00000e-12  1.00000e+00  2.20000e+01  1.00000e+00
 9.35000e+01  1.00000e-12  1.00000e+00  6.00000e+00  1.00000e+00
