        eigs         occs          dos      l_degen     k_int_wt 
 3.19316e+01  7.33769e-06  1.00000e+00  2.20000e+01  1.00000e+00
 3.21190e+01  6.97298e-06  1.00000e+00  1.40000e+01  1.00000e+00
 3.27739e+01  5.83477e-06  1.00000e+00  6.60000e+01  1.00000e+00
 3.27818e+01  5.82218e-06  1.00000e+00  4.20000e+01  1.00000e+00
 3.34387e+01  4.86919e-06  1.00000e+00  5.40000e+01  1.00000e+00
 3.35900e+01  4.67274e-06  1.00000e+00  2.00000e+00  1.00000e+00
 3.45581e+01  3.59063e-06  1.00000e+00  3.40000e+01  1.00000e+00
 3.57406e+01  2.60273e-06  1.00000e+00  2.60000e+01  1.00000e+00
 3.57661e+01  2.58472e-06  1.00000e+00  7.00000e+01  1.00000e+00
 3.59956e+01  2.42824e-06  1.00000e+00  1.00000e+01  1.00000e+00
 3.61454e+01  2.33126e-06  1.00000e+00  4.60000e+01  1.00000e+00
 3.62947e+01  2.23843e-06  1.00000e+00  1.80000e+01  1.00000e+00
 3.66366e+01  2.03955e-06  1.00000e+00  5.80000e+01  1.00000e+00
 3.81932e+01  1.33532e-06  1.00000e+00  3.80000e+01  1.00000e+00
 3.88728e+01  1.10985e-06  1.00000e+00  7.40000e+01  1.00000e+00
 3.96300e+01  9.03203e-07  1.00000e+00  5.00000e+01  1.00000e+00
 3.96516e+01  8.97909e-07  1.00000e+00  3.00000e+01  1.00000e+00
 3.96779e+01  8.91497e-07  1.00000e+00  6.00000e+00  1.00000e+00
 3.99537e+01  8.27049e-07  1.00000e+00  6.20000e+01  1.00000e+00
 4.05208e+01  7.08784e-07  1.00000e+00  2.20000e+01  1.00000e+00
 4.06912e+01  6.76673e-07  1.00000e+00  1.40000e+01  1.00000e+00
 4.19480e+01  4.80676e-07  1.00000e+00  4.20000e+01  1.00000e+00
 4.20938e+01  4.61972e-07  1.00000e+00  7.80000e+01  1.00000e+00
 4.26271e+01  3.99569e-07  1.00000e+00  2.00000e+00  1.00000e+00
 4.32362e+01  3.38544e-07  1.00000e+00  5.40000e+01  1.00000e+00
 4.33897e+01  3.24695e-07  1.00000e+00  6.60000e+01  1.00000e+00
 4.36742e+01  3.00506e-07  1.00000e+00  3.40000e+01  1.00000e+00
 4.48307e+01  2.19369e-07  1.00000e+00  2.60000e+01  1.00000e+00
 4.50563e+01  2.06310e-07  1.00000e+00  1.00000e+01  1.00000e+00
 4.53676e+01  1.89554e-07  1.00000e+00  1.80000e+01  1.00000e+00
 4.58243e+01  1.67400e-07  1.00000e+00  4.60000e+01  1.00000e+00
 4.69443e+01  1.23424e-07  1.00000e+00  7.00000e+01  1.00000e+00
 4.69641e+01  1.22760e-07  1.00000e+00  5.80000e+01  1.00000e+00
 4.78139e+01  9.74173e-08  1.00000e+00  3.80000e+01  1.00000e+00
 4.92295e+01  6.62728e-08  1.00000e+00  6.00000e+00  1.00000e+00
 4.92422e+01  6.60446e-08  1.00000e+00  3.00000e+01  1.00000e+00
 4.98233e+01  5.63847e-08  1.00000e+00  5.00000e+01  1.00000e+00
 5.00933e+01  5.23909e-08  1.00000e+00  2.20000e+01  1.00000e+00
 5.02496e+01  5.02097e-08  1.00000e+00  1.40000e+01  1.00000e+00
 5.06173e+01  4.54291e-08  1.00000e+00  7.40000e+01  1.00000e+00
 5.08138e+01  4.30640e-08  1.00000e+00  6.20000e+01  1.00000e+00
 5.20740e+01  3.05618e-08  1.00000e+00  4.20000e+01  1.00000e+00
 5.26558e+01  2.60870e-08  1.00000e+00  2.00000e+00  1.00000e+00
