     r (a_0)         v_en         v_ha         v_xc
 9.11948e-06 -6.57932e+05  9.76340e+00 -2.09495e+00
 9.15958e-06 -6.55052e+05  9.76340e+00 -2.10697e+00
 9.19986e-06 -6.52184e+05  9.76340e+00 -2.11890e+00
 9.24032e-06 -6.49328e+05  9.76340e+00 -2.13075e+00
 9.28095e-06 -6.46485e+05  9.76340e+00 -2.14250e+00
 9.32177e-06 -6.43655e+05  9.76340e+00 -2.15418e+00
 9.36276e-06 -6.40837e+05  9.76340e+00 -2.16577e+00
 9.40393e-06 -6.38031e+05  9.76340e+00 -2.17727e+00
 9.44528e-06 -6.35238e+05  9.76340e+00 -2.18869e+00
 9.48682e-06 -6.32457e+05  9.76340e+00 -2.20003e+00
 9.52854e-06 -6.29688e+05  9.76340e+00 -2.21130e+00
 9.57044e-06 -6.26931e+05  9.76340e+00 -2.22248e+00
 9.61252e-06 -6.24186e+05  9.76340e+00 -2.23358e+00
 9.65479e-06 -6.21453e+05  9.76340e+00 -2.24461e+00
 9.69725e-06 -6.18732e+05  9.76340e+00 -2.25556e+00
 9.73989e-06 -6.16023e+05  9.76340e+00 -2.26643e+00
 9.78272e-06 -6.13326e+05  9.76340e+00 -2.27723e+00
 9.82574e-06 -6.10641e+05  9.76340e+00 -2.28795e+00
 9.86895e-06 -6.07967e+05  9.76340e+00 -2.29860e+00
 9.91235e-06 -6.05306e+05  9.76340e+00 -2.30918e+00
 9.95594e-06 -6.02655e+05  9.76340e+00 -2.31969e+00
 9.99972e-06 -6.00017e+05  9.76340e+00 -2.33012e+00
 1.00437e-05 -5.97390e+05  9.76340e+00 -2.34049e+00
 1.00879e-05 -5.94774e+05  9.76340e+00 -2.35079e+00
 1.01322e-05 -5.92170e+05  9.76340e+00 -2.36101e+00
 1.01768e-05 -5.89578e+05  9.76340e+00 -2.37117e+00
 1.02215e-05 -5.86996e+05  9.76340e+00 -2.38127e+00
 1.02665e-05 -5.84426e+05  9.76340e+00 -2.39129e+00
 1.03116e-05 -5.81868e+05  9.76340e+00 -2.40125e+00
 1.03570e-05 -5.79320e+05  9.76340e+00 -2.41115e+00
 1.04025e-05 -5.76784e+05  9.76340e+00 -2.42098e+00
 1.04483e-05 -5.74259e+05  9.76340e+00 -2.43074e+00
 1.04942e-05 -5.71744e+05  9.76340e+00 -2.44045e+00
 1.05403e-05 -5.69241e+05  9.76340e+00 -2.45009e+00
 1.05867e-05 -5.66749e+05  9.76340e+00 -2.45966e+00
 1.06333e-05 -5.64268e+05  9.76340e+00 -2.46918e+00
 1.06800e-05 -5.61797e+05  9.76340e+00 -2.47864e+00
 1.07270e-05 -5.59337e+05  9.76340e+00 -2.48803e+00
 1.07741e-05 -5.56889e+05  9.76340e+00 -2.49737e+00
 1.08215e-05 -5.54450e+05  9.76340e+00 -2.50665e+00
 1.08691e-05 -5.52023e+05  9.76340e+00 -2.51587e+00
 1.09169e-05 -5.49606e+05  9.76340e+00 -2.52503e+00
 1.09649e-05 -5.47200e+05  9.76340e+00 -2.53413e+00
 1.10131e-05 -5.44804e+05  9.76340e+00 -2.54317e+00
 1.10616e-05 -5.42419e+05  9.76340e+00 -2.55216e+00
 1.11102e-05 -5.40044e+05  9.76340e+00 -2.56110e+00
 1.11591e-05 -5.37680e+05  9.76340e+00 -2.56998e+00
 1.12081e-05 -5.35325e+05  9.76340e+00 -2.57880e+00
 1.12574e-05 -5.32982e+05  9.76340e+00 -2.58757e+00
 1.13069e-05 -5.30648e+05  9.76340e+00 -2.59628e+00
 1.13566e-05 -5.28325e+05  9.76340e+00 -2.60495e+00
 1.14066e-05 -5.26012e+05  9.76340e+00 -2.61356e+00
 1.14567e-05 -5.23709e+05  9.76340e+00 -2.62211e+00
 1.15071e-05 -5.21416e+05  9.76340e+00 -2.63062e+00
 1.15577e-05 -5.19133e+05  9.76340e+00 -2.63907e+00
 1.16086e-05 -5.16860e+05  9.76340e+00 -2.64747e+00
 1.16596e-05 -5.14597e+05  9.76340e+00 -2.65582e+00
 1.17109e-05 -5.12344e+05  9.76340e+00 -2.66412e+00
 1.17624e-05 -5.10101e+05  9.76340e+00 -2.67237e+00
 1.18141e-05 -5.07868e+05  9.76340e+00 -2.68058e+00
 1.18660e-05 -5.05644e+05  9.76340e+00 -2.68873e+00
 1.19182e-05 -5.03430e+05  9.76340e+00 -2.69683e+00
 1.19706e-05 -5.01226e+05  9.76340e+00 -2.70489e+00
 1.20233e-05 -4.99032e+05  9.76340e+00 -2.71290e+00
 1.20762e-05 -4.96847e+05  9.76340e+00 -2.72086e+00
 1.21293e-05 -4.94672e+05  9.76340e+00 -2.72877e+00
 1.21826e-05 -4.92506e+05  9.76340e+00 -2.73664e+00
 1.22362e-05 -4.90350e+05  9.76340e+00 -2.74446e+00
 1.22900e-05 -4.88203e+05  9.76340e+00 -2.75223e+00
 1.23440e-05 -4.86065e+05  9.76340e+00 -2.75996e+00
 1.23983e-05 -4.83937e+05  9.76340e+00 -2.76765e+00
 1.24528e-05 -4.81819e+05  9.76340e+00 -2.77529e+00
 1.25076e-05 -4.79709e+05  9.76340e+00 -2.78288e+00
 1.25626e-05 -4.77609e+05  9.76340e+00 -2.79043e+00
 1.26178e-05 -4.75518e+05  9.76340e+00 -2.79794e+00
 1.26733e-05 -4.73436e+05  9.76340e+00 -2.80541e+00
 1.27290e-05 -4.71363e+05  9.76340e+00 -2.81283e+00
 1.27850e-05 -4.69299e+05  9.76340e+00 -2.82020e+00
 1.28412e-05 -4.67245e+05  9.76340e+00 -2.82754e+00
 1.28977e-05 -4.65199e+05  9.76340e+00 -2.83483e+00
 1.29544e-05 -4.63162e+05  9.76340e+00 -2.84209e+00
 1.30114e-05 -4.61134e+05  9.76340e+00 -2.84930e+00
 1.30686e-05 -4.59115e+05  9.76340e+00 -2.85647e+00
 1.31261e-05 -4.57105e+05  9.76340e+00 -2.86360e+00
 1.31838e-05 -4.55104e+05  9.76340e+00 -2.87069e+00
 1.32418e-05 -4.53112e+05  9.76340e+00 -2.87773e+00
 1.33000e-05 -4.51128e+05  9.76340e+00 -2.88474e+00
 1.33585e-05 -4.49153e+05  9.76340e+00 -2.89171e+00
 1.34172e-05 -4.47186e+05  9.76340e+00 -2.89864e+00
 1.34762e-05 -4.45228e+05  9.76340e+00 -2.90553e+00
 1.35355e-05 -4.43279e+05  9.76340e+00 -2.91239e+00
 1.35950e-05 -4.41338e+05  9.76340e+00 -2.91920e+00
 1.36548e-05 -4.39406e+05  9.76340e+00 -2.92598e+00
 1.37148e-05 -4.37482e+05  9.76340e+00 -2.93271e+00
 1.37752e-05 -4.35567e+05  9.76340e+00 -2.93941e+00
 1.38357e-05 -4.33660e+05  9.76340e+00 -2.94608e+00
 1.38966e-05 -4.31761e+05  9.76340e+00 -2.95270e+00
 1.39577e-05 -4.29871e+05  9.76340e+00 -2.95929e+00
 1.40191e-05 -4.27989e+05  9.76340e+00 -2.96585e+00
 1.40807e-05 -4.26115e+05  9.76340e+00 -2.97236e+00
 1.41426e-05 -4.24249e+05  9.76340e+00 -2.97884e+00
 1.42048e-05 -4.22392e+05  9.76340e+00 -2.98529e+00
 1.42673e-05 -4.20543e+05  9.76340e+00 -2.99170e+00
 1.43300e-05 -4.18701e+05  9.76340e+00 -2.99807e+00
 1.43930e-05 -4.16868e+05  9.76340e+00 -3.00441e+00
 1.44563e-05 -4.15043e+05  9.76340e+00 -3.01072e+00
 1.45199e-05 -4.13226e+05  9.76340e+00 -3.01699e+00
 1.45838e-05 -4.11417e+05  9.76340e+00 -3.02322e+00
 1.46479e-05 -4.09615e+05  9.76340e+00 -3.02943e+00
 1.47123e-05 -4.07822e+05  9.76340e+00 -3.03559e+00
 1.47770e-05 -4.06037e+05  9.76340e+00 -3.04173e+00
 1.48420e-05 -4.04259e+05  9.76340e+00 -3.04783e+00
 1.49072e-05 -4.02489e+05  9.76340e+00 -3.05390e+00
 1.49728e-05 -4.00727e+05  9.76340e+00 -3.05994e+00
 1.50386e-05 -3.98972e+05  9.76340e+00 -3.06594e+00
 1.51048e-05 -3.97225e+05  9.76340e+00 -3.07191e+00
 1.51712e-05 -3.95486e+05  9.76340e+00 -3.07785e+00
 1.52379e-05 -3.93755e+05  9.76340e+00 -3.08375e+00
 1.53049e-05 -3.92031e+05  9.76340e+00 -3.08963e+00
 1.53722e-05 -3.90315e+05  9.76340e+00 -3.09547e+00
 1.54398e-05 -3.88606e+05  9.76340e+00 -3.10128e+00
 1.55077e-05 -3.86904e+05  9.76340e+00 -3.10707e+00
 1.55759e-05 -3.85210e+05  9.76340e+00 -3.11282e+00
 1.56444e-05 -3.83524e+05  9.76340e+00 -3.11853e+00
 1.57132e-05 -3.81845e+05  9.76340e+00 -3.12422e+00
 1.57823e-05 -3.80173e+05  9.76340e+00 -3.12988e+00
 1.58517e-05 -3.78508e+05  9.76340e+00 -3.13551e+00
 1.59214e-05 -3.76851e+05  9.76340e+00 -3.14111e+00
 1.59914e-05 -3.75201e+05  9.76340e+00 -3.14668e+00
 1.60617e-05 -3.73559e+05  9.76340e+00 -3.15222e+00
 1.61324e-05 -3.71923e+05  9.76340e+00 -3.15773e+00
 1.62033e-05 -3.70295e+05  9.76340e+00 -3.16321e+00
 1.62746e-05 -3.68674e+05  9.76340e+00 -3.16866e+00
 1.63461e-05 -3.67059e+05  9.76340e+00 -3.17408e+00
 1.64180e-05 -3.65452e+05  9.76340e+00 -3.17948e+00
 1.64902e-05 -3.63852e+05  9.76340e+00 -3.18484e+00
 1.65627e-05 -3.62259e+05  9.76340e+00 -3.19018e+00
 1.66356e-05 -3.60673e+05  9.76340e+00 -3.19549e+00
 1.67087e-05 -3.59094e+05  9.76340e+00 -3.20078e+00
 1.67822e-05 -3.57522e+05  9.76340e+00 -3.20603e+00
 1.68560e-05 -3.55957e+05  9.76340e+00 -3.21126e+00
 1.69301e-05 -3.54398e+05  9.76340e+00 -3.21646e+00
 1.70046e-05 -3.52847e+05  9.76340e+00 -3.22163e+00
 1.70793e-05 -3.51302e+05  9.76340e+00 -3.22678e+00
 1.71544e-05 -3.49764e+05  9.76340e+00 -3.23189e+00
 1.72299e-05 -3.48232e+05  9.76340e+00 -3.23699e+00
 1.73056e-05 -3.46708e+05  9.76340e+00 -3.24205e+00
 1.73817e-05 -3.45190e+05  9.76340e+00 -3.24709e+00
 1.74582e-05 -3.43678e+05  9.76340e+00 -3.25211e+00
 1.75349e-05 -3.42174e+05  9.76340e+00 -3.25709e+00
 1.76121e-05 -3.40676e+05  9.76340e+00 -3.26206e+00
 1.76895e-05 -3.39184e+05  9.76340e+00 -3.26699e+00
