# Density (g/cm^3), Z (dirichlet), Z (Neumann), Z (bands)
  1.0000,  4.4090,  4.7164,  4.5641
  2.0000,  3.9407,  4.4104,  4.1810
  5.0000,  4.4290,  3.8567,  4.4461
 10.0000,  4.2776,  4.2033,  4.3838
 20.0000,  4.1497,  4.4468,  4.2764
 50.0000,  4.0395,  4.3176,  4.1327
 80.0000,  4.0141,  4.2294,  4.0733
100.0000,  4.0078,  4.1832,  4.0518
150.0000,  6.0000,  4.1055,  4.0255
200.0000,  6.0000,  4.0638,  4.2424
300.0000,  6.0000,  4.0278,  4.8483
400.0000,  6.0000,  4.0144,  5.1587
