     r (a_0)         v_en         v_ha         v_xc
 1.38794e-05 -2.88196e+05  4.16102e+00 -1.55230e+00
 1.39990e-05 -2.85735e+05  4.16102e+00 -1.55893e+00
 1.41196e-05 -2.83294e+05  4.16102e+00 -1.56548e+00
 1.42412e-05 -2.80875e+05  4.16102e+00 -1.57197e+00
 1.43639e-05 -2.78476e+05  4.16102e+00 -1.57838e+00
 1.44877e-05 -2.76097e+05  4.16102e+00 -1.58473e+00
 1.46125e-05 -2.73739e+05  4.16102e+00 -1.59100e+00
 1.47383e-05 -2.71401e+05  4.16102e+00 -1.59721e+00
 1.48653e-05 -2.69083e+05  4.16102e+00 -1.60336e+00
 1.49934e-05 -2.66785e+05  4.16102e+00 -1.60944e+00
 1.51225e-05 -2.64506e+05  4.16102e+00 -1.61546e+00
 1.52528e-05 -2.62247e+05  4.16102e+00 -1.62141e+00
 1.53842e-05 -2.60007e+05  4.16102e+00 -1.62730e+00
 1.55167e-05 -2.57786e+05  4.16102e+00 -1.63313e+00
 1.56504e-05 -2.55584e+05  4.16102e+00 -1.63890e+00
 1.57852e-05 -2.53401e+05  4.16102e+00 -1.64461e+00
 1.59212e-05 -2.51237e+05  4.16102e+00 -1.65026e+00
 1.60584e-05 -2.49091e+05  4.16102e+00 -1.65585e+00
 1.61967e-05 -2.46963e+05  4.16102e+00 -1.66138e+00
 1.63363e-05 -2.44854e+05  4.16102e+00 -1.66685e+00
 1.64770e-05 -2.42763e+05  4.16102e+00 -1.67227e+00
 1.66189e-05 -2.40689e+05  4.16102e+00 -1.67764e+00
 1.67621e-05 -2.38634e+05  4.16102e+00 -1.68295e+00
 1.69065e-05 -2.36595e+05  4.16102e+00 -1.68820e+00
 1.70522e-05 -2.34575e+05  4.16102e+00 -1.69340e+00
 1.71991e-05 -2.32571e+05  4.16102e+00 -1.69855e+00
 1.73472e-05 -2.30585e+05  4.16102e+00 -1.70365e+00
 1.74967e-05 -2.28615e+05  4.16102e+00 -1.70869e+00
 1.76474e-05 -2.26662e+05  4.16102e+00 -1.71369e+00
 1.77994e-05 -2.24726e+05  4.16102e+00 -1.71863e+00
 1.79528e-05 -2.22807e+05  4.16102e+00 -1.72352e+00
 1.81074e-05 -2.20904e+05  4.16102e+00 -1.72837e+00
 1.82634e-05 -2.19017e+05  4.16102e+00 -1.73316e+00
 1.84207e-05 -2.17147e+05  4.16102e+00 -1.73791e+00
 1.85794e-05 -2.15292e+05  4.16102e+00 -1.74261e+00
 1.87395e-05 -2.13453e+05  4.16102e+00 -1.74727e+00
 1.89009e-05 -2.11630e+05  4.16102e+00 -1.75187e+00
 1.90637e-05 -2.09822e+05  4.16102e+00 -1.75643e+00
 1.92280e-05 -2.08030e+05  4.16102e+00 -1.76095e+00
 1.93936e-05 -2.06253e+05  4.16102e+00 -1.76542e+00
 1.95607e-05 -2.04492e+05  4.16102e+00 -1.76985e+00
 1.97292e-05 -2.02745e+05  4.16102e+00 -1.77423e+00
 1.98992e-05 -2.01013e+05  4.16102e+00 -1.77858e+00
 2.00706e-05 -1.99297e+05  4.16102e+00 -1.78287e+00
 2.02435e-05 -1.97594e+05  4.16102e+00 -1.78713e+00
 2.04179e-05 -1.95907e+05  4.16102e+00 -1.79134e+00
 2.05938e-05 -1.94233e+05  4.16102e+00 -1.79552e+00
 2.07712e-05 -1.92574e+05  4.16102e+00 -1.79965e+00
 2.09501e-05 -1.90930e+05  4.16102e+00 -1.80374e+00
 2.11306e-05 -1.89299e+05  4.16102e+00 -1.80779e+00
 2.13126e-05 -1.87682e+05  4.16102e+00 -1.81180e+00
 2.14963e-05 -1.86079e+05  4.16102e+00 -1.81578e+00
 2.16814e-05 -1.84490e+05  4.16102e+00 -1.81971e+00
 2.18682e-05 -1.82914e+05  4.16102e+00 -1.82361e+00
 2.20566e-05 -1.81352e+05  4.16102e+00 -1.82747e+00
 2.22466e-05 -1.79803e+05  4.16102e+00 -1.83129e+00
 2.24383e-05 -1.78267e+05  4.16102e+00 -1.83508e+00
 2.26316e-05 -1.76744e+05  4.16102e+00 -1.83883e+00
 2.28265e-05 -1.75235e+05  4.16102e+00 -1.84254e+00
 2.30232e-05 -1.73738e+05  4.16102e+00 -1.84621e+00
 2.32215e-05 -1.72254e+05  4.16102e+00 -1.84986e+00
 2.34216e-05 -1.70783e+05  4.16102e+00 -1.85346e+00
 2.36233e-05 -1.69324e+05  4.16102e+00 -1.85704e+00
 2.38268e-05 -1.67878e+05  4.16102e+00 -1.86057e+00
 2.40321e-05 -1.66444e+05  4.16102e+00 -1.86408e+00
 2.42391e-05 -1.65022e+05  4.16102e+00 -1.86755e+00
 2.44480e-05 -1.63613e+05  4.16102e+00 -1.87099e+00
 2.46586e-05 -1.62215e+05  4.16102e+00 -1.87439e+00
 2.48710e-05 -1.60830e+05  4.16102e+00 -1.87777e+00
 2.50853e-05 -1.59456e+05  4.16102e+00 -1.88111e+00
 2.53014e-05 -1.58094e+05  4.16102e+00 -1.88442e+00
 2.55193e-05 -1.56744e+05  4.16102e+00 -1.88769e+00
 2.57392e-05 -1.55405e+05  4.16102e+00 -1.89094e+00
 2.59609e-05 -1.54078e+05  4.16102e+00 -1.89416e+00
 2.61845e-05 -1.52762e+05  4.16102e+00 -1.89734e+00
 2.64101e-05 -1.51457e+05  4.16102e+00 -1.90050e+00
 2.66376e-05 -1.50163e+05  4.16102e+00 -1.90362e+00
 2.68671e-05 -1.48881e+05  4.16102e+00 -1.90672e+00
 2.70986e-05 -1.47609e+05  4.16102e+00 -1.90979e+00
 2.73320e-05 -1.46349e+05  4.16102e+00 -1.91283e+00
 2.75675e-05 -1.45099e+05  4.16102e+00 -1.91584e+00
 2.78050e-05 -1.43859e+05  4.16102e+00 -1.91882e+00
 2.80445e-05 -1.42630e+05  4.16102e+00 -1.92177e+00
 2.82861e-05 -1.41412e+05  4.16102e+00 -1.92470e+00
 2.85298e-05 -1.40204e+05  4.16102e+00 -1.92760e+00
 2.87755e-05 -1.39007e+05  4.16102e+00 -1.93047e+00
 2.90234e-05 -1.37820e+05  4.16102e+00 -1.93332e+00
 2.92735e-05 -1.36642e+05  4.16102e+00 -1.93613e+00
 2.95257e-05 -1.35475e+05  4.16102e+00 -1.93893e+00
 2.97800e-05 -1.34318e+05  4.16102e+00 -1.94169e+00
 3.00366e-05 -1.33171e+05  4.16102e+00 -1.94443e+00
 3.02953e-05 -1.32034e+05  4.16102e+00 -1.94715e+00
 3.05563e-05 -1.30906e+05  4.16102e+00 -1.94984e+00
 3.08195e-05 -1.29788e+05  4.16102e+00 -1.95250e+00
 3.10850e-05 -1.28679e+05  4.16102e+00 -1.95514e+00
 3.13528e-05 -1.27580e+05  4.16102e+00 -1.95776e+00
 3.16229e-05 -1.26490e+05  4.16102e+00 -1.96035e+00
 3.18954e-05 -1.25410e+05  4.16102e+00 -1.96292e+00
 3.21701e-05 -1.24339e+05  4.16102e+00 -1.96546e+00
 3.24473e-05 -1.23277e+05  4.16102e+00 -1.96798e+00
 3.27268e-05 -1.22224e+05  4.16102e+00 -1.97048e+00
 3.30087e-05 -1.21180e+05  4.16102e+00 -1.97296e+00
 3.32931e-05 -1.20145e+05  4.16102e+00 -1.97541e+00
 3.35799e-05 -1.19119e+05  4.16102e+00 -1.97784e+00
 3.38692e-05 -1.18101e+05  4.16102e+00 -1.98024e+00
 3.41610e-05 -1.17093e+05  4.16102e+00 -1.98263e+00
 3.44552e-05 -1.16093e+05  4.16102e+00 -1.98499e+00
 3.47521e-05 -1.15101e+05  4.16102e+00 -1.98733e+00
 3.50514e-05 -1.14118e+05  4.16102e+00 -1.98965e+00
 3.53534e-05 -1.13143e+05  4.16102e+00 -1.99195e+00
 3.56580e-05 -1.12177e+05  4.16102e+00 -1.99423e+00
 3.59652e-05 -1.11219e+05  4.16102e+00 -1.99648e+00
 3.62750e-05 -1.10269e+05  4.16102e+00 -1.99872e+00
 3.65875e-05 -1.09327e+05  4.16102e+00 -2.00093e+00
 3.69027e-05 -1.08393e+05  4.16102e+00 -2.00313e+00
 3.72206e-05 -1.07467e+05  4.16102e+00 -2.00530e+00
 3.75412e-05 -1.06550e+05  4.16102e+00 -2.00746e+00
 3.78646e-05 -1.05639e+05  4.16102e+00 -2.00959e+00
 3.81908e-05 -1.04737e+05  4.16102e+00 -2.01171e+00
 3.85198e-05 -1.03843e+05  4.16102e+00 -2.01381e+00
 3.88517e-05 -1.02956e+05  4.16102e+00 -2.01588e+00
 3.91864e-05 -1.02076e+05  4.16102e+00 -2.01794e+00
 3.95240e-05 -1.01204e+05  4.16102e+00 -2.01998e+00
 3.98644e-05 -1.00340e+05  4.16102e+00 -2.02201e+00
 4.02079e-05 -9.94830e+04  4.16102e+00 -2.02401e+00
 4.05542e-05 -9.86333e+04  4.16102e+00 -2.02599e+00
 4.09036e-05 -9.77909e+04  4.16102e+00 -2.02796e+00
 4.12560e-05 -9.69556e+04  4.16102e+00 -2.02991e+00
 4.16114e-05 -9.61275e+04  4.16102e+00 -2.03184e+00
 4.19699e-05 -9.53065e+04  4.16102e+00 -2.03375e+00
 4.23314e-05 -9.44924e+04  4.16102e+00 -2.03565e+00
 4.26961e-05 -9.36854e+04  4.16102e+00 -2.03753e+00
 4.30639e-05 -9.28852e+04  4.16102e+00 -2.03939e+00
 4.34349e-05 -9.20918e+04  4.16102e+00 -2.04124e+00
 4.38091e-05 -9.13053e+04  4.16102e+00 -2.04307e+00
 4.41865e-05 -9.05254e+04  4.16102e+00 -2.04488e+00
 4.45671e-05 -8.97522e+04  4.16102e+00 -2.04668e+00
 4.49511e-05 -8.89856e+04  4.16102e+00 -2.04846e+00
 4.53383e-05 -8.82256e+04  4.16102e+00 -2.05022e+00
 4.57289e-05 -8.74720e+04  4.16102e+00 -2.05197e+00
 4.61228e-05 -8.67249e+04  4.16102e+00 -2.05370e+00
 4.65202e-05 -8.59842e+04  4.16102e+00 -2.05542e+00
 4.69209e-05 -8.52498e+04  4.16102e+00 -2.05712e+00
 4.73252e-05 -8.45216e+04  4.16102e+00 -2.05881e+00
 4.77329e-05 -8.37997e+04  4.16102e+00 -2.06048e+00
 4.81441e-05 -8.30840e+04  4.16102e+00 -2.06213e+00
 4.85588e-05 -8.23743e+04  4.16102e+00 -2.06377e+00
 4.89771e-05 -8.16708e+04  4.16102e+00 -2.06540e+00
 4.93991e-05 -8.09732e+04  4.16102e+00 -2.06701e+00
 4.98246e-05 -8.02816e+04  4.16102e+00 -2.06861e+00
 5.02538e-05 -7.95959e+04  4.16102e+00 -2.07019e+00
 5.06868e-05 -7.89161e+04  4.16102e+00 -2.07176e+00
 5.11234e-05 -7.82420e+04  4.16102e+00 -2.07331e+00
 5.15638e-05 -7.75737e+04  4.16102e+00 -2.07485e+00
 5.20081e-05 -7.69112e+04  4.16102e+00 -2.07638e+00
 5.24561e-05 -7.62543e+04  4.16102e+00 -2.07789e+00
 5.29080e-05 -7.56030e+04  4.16102e+00 -2.07939e+00
 5.33638e-05 -7.49572e+04  4.16102e+00 -2.08088e+00
 5.38235e-05 -7.43170e+04  4.16102e+00 -2.08235e+00
 5.42872e-05 -7.36822e+04  4.16102e+00 -2.08381e+00
 5.47548e-05 -7.30529e+04  4.16102e+00 -2.08526e+00
 5.52265e-05 -7.24289e+04  4.16102e+00 -2.08669e+00
