        eigs         occs          dos      l_degen     k_int_wt 
 5.84338e+01  2.21772e-10  1.00000e+00  5.80000e+01  1.00000e+00
 5.85027e+01  2.16762e-10  1.00000e+00  2.00000e+00  1.00000e+00
 5.87648e+01  1.98703e-10  1.00000e+00  2.60000e+01  1.00000e+00
 6.02300e+01  1.22190e-10  1.00000e+00  1.80000e+01  1.00000e+00
 6.05277e+01  1.10697e-10  1.00000e+00  1.00000e+01  1.00000e+00
 6.23975e+01  5.95190e-11  1.00000e+00  3.80000e+01  1.00000e+00
 6.42432e+01  3.22600e-11  1.00000e+00  5.00000e+01  1.00000e+00
 6.53458e+01  2.23744e-11  1.00000e+00  3.00000e+01  1.00000e+00
 6.73039e+01  1.16830e-11  1.00000e+00  2.20000e+01  1.00000e+00
 6.76939e+01  1.02649e-11  1.00000e+00  6.00000e+00  1.00000e+00
 6.82167e+01  8.62992e-12  1.00000e+00  1.40000e+01  1.00000e+00
 6.87362e+01  7.26322e-12  1.00000e+00  4.20000e+01  1.00000e+00
 7.03187e+01  4.29598e-12  1.00000e+00  5.40000e+01  1.00000e+00
 7.21493e+01  2.34014e-12  1.00000e+00  3.40000e+01  1.00000e+00
 7.42856e+01  1.15174e-12  1.00000e+00  2.00000e+00  1.00000e+00
 7.45780e+01  1.04526e-12  1.00000e+00  2.60000e+01  1.00000e+00
 7.53028e+01  1.00000e-12  1.00000e+00  4.60000e+01  1.00000e+00
 7.60201e+01  1.00000e-12  1.00000e+00  1.80000e+01  1.00000e+00
 7.63103e+01  1.00000e-12  1.00000e+00  1.00000e+01  1.00000e+00
 7.66172e+01  1.00000e-12  1.00000e+00  5.80000e+01  1.00000e+00
 7.91797e+01  1.00000e-12  1.00000e+00  3.80000e+01  1.00000e+00
 8.20672e+01  1.00000e-12  1.00000e+00  3.00000e+01  1.00000e+00
 8.20974e+01  1.00000e-12  1.00000e+00  5.00000e+01  1.00000e+00
 8.39961e+01  1.00000e-12  1.00000e+00  2.20000e+01  1.00000e+00
 8.43731e+01  1.00000e-12  1.00000e+00  6.00000e+00  1.00000e+00
 8.48967e+01  1.00000e-12  1.00000e+00  1.40000e+01  1.00000e+00
 8.64397e+01  1.00000e-12  1.00000e+00  4.20000e+01  1.00000e+00
 8.91199e+01  1.00000e-12  1.00000e+00  5.40000e+01  1.00000e+00
 8.97801e+01  1.00000e-12  1.00000e+00  3.40000e+01  1.00000e+00
 9.18595e+01  1.00000e-12  1.00000e+00  2.00000e+00  1.00000e+00
 9.21730e+01  1.00000e-12  1.00000e+00  2.60000e+01  1.00000e+00
