     r (a_0)         v_en         v_ha         v_xc
 1.32967e-05 -3.00826e+05  4.75491e+00 -1.62176e+00
 1.34113e-05 -2.98256e+05  4.75491e+00 -1.62926e+00
 1.35268e-05 -2.95709e+05  4.75491e+00 -1.63667e+00
 1.36433e-05 -2.93183e+05  4.75491e+00 -1.64400e+00
 1.37609e-05 -2.90679e+05  4.75491e+00 -1.65126e+00
 1.38794e-05 -2.88196e+05  4.75491e+00 -1.65843e+00
 1.39990e-05 -2.85735e+05  4.75491e+00 -1.66553e+00
 1.41196e-05 -2.83294e+05  4.75491e+00 -1.67255e+00
 1.42412e-05 -2.80875e+05  4.75491e+00 -1.67949e+00
 1.43639e-05 -2.78476e+05  4.75491e+00 -1.68636e+00
 1.44877e-05 -2.76097e+05  4.75491e+00 -1.69316e+00
 1.46125e-05 -2.73739e+05  4.75491e+00 -1.69988e+00
 1.47383e-05 -2.71401e+05  4.75491e+00 -1.70653e+00
 1.48653e-05 -2.69083e+05  4.75491e+00 -1.71311e+00
 1.49934e-05 -2.66785e+05  4.75491e+00 -1.71963e+00
 1.51225e-05 -2.64506e+05  4.75491e+00 -1.72607e+00
 1.52528e-05 -2.62247e+05  4.75491e+00 -1.73245e+00
 1.53842e-05 -2.60007e+05  4.75491e+00 -1.73875e+00
 1.55167e-05 -2.57786e+05  4.75491e+00 -1.74500e+00
 1.56504e-05 -2.55584e+05  4.75491e+00 -1.75118e+00
 1.57852e-05 -2.53401e+05  4.75491e+00 -1.75729e+00
 1.59212e-05 -2.51237e+05  4.75491e+00 -1.76334e+00
 1.60584e-05 -2.49091e+05  4.75491e+00 -1.76933e+00
 1.61967e-05 -2.46963e+05  4.75491e+00 -1.77525e+00
 1.63363e-05 -2.44854e+05  4.75491e+00 -1.78112e+00
 1.64770e-05 -2.42763e+05  4.75491e+00 -1.78692e+00
 1.66189e-05 -2.40689e+05  4.75491e+00 -1.79267e+00
 1.67621e-05 -2.38634e+05  4.75491e+00 -1.79835e+00
 1.69065e-05 -2.36595e+05  4.75491e+00 -1.80398e+00
 1.70522e-05 -2.34575e+05  4.75491e+00 -1.80955e+00
 1.71991e-05 -2.32571e+05  4.75491e+00 -1.81507e+00
